Name,GP*,Pos Rank,H/AB*,R,HR,RBI,SB,OPS,,
,"New Player Note
Alejandro Kirk TOR - C

W, 3-2 vs BOS",16,-,12/46,5,1,9,0,0.744,
,"New Player Note
Ryan Mountcastle BAL - 1B
DTD
W, 5-4 vs TB",17,-,16/72,11,6,19,2,0.775,
,"New Player Note
Jonathan India CIN - 2B


L, 4-8 @NYM",18,-,21/63,18,1,6,3,0.934,
,"New Player Note
José Ramírez CLE - 3B 

W, 9-2 vs TEX",137,-,150/539,77,22,72,25,0.830,
,"Player Note
Willy Adames MIL - SS

L, 1-2 vs WSH",26,-,23/93,16,5,15,2,0.804,
,"Player Note
Lars Nootbaar STL - OF

W, 6-5 vs PHI",13,-,11/45,7,2,5,1,0.804,
,"New Player Note
Giancarlo Stanton NYY - OF

L, 2-3 @PIT",13,-,14/52,7,4,11,0,0.854,
,"New Player Note
Kyle Tucker HOU - OF 

W, 7-1 @KC",145,-,150/530,87,27,105,28,0.872,
,"Player Note
Michael Harris II ATL - OF 

L, 2-16 @MIA",23,-,13/74,7,0,3,4,0.492,
,"New Player Note
Masataka Yoshida BOS - OF

L, 2-3 @TOR",9,-,6/33,7,1,5,2,0.628,
,"Player Note
Yandy Díaz TB - 1B,3B

L, 4-5 @BAL",105,-,136/426,70,16,57,0,0.882,
,"Player Note
Nolan Gorman STL - 2B,3B
IL10
W, 6-5 vs PHI",46,-,38/161,17,9,29,3,0.755,
,"No new player Notes
Miguel Vargas LAD - 1B,2B
NA
Top 7, 5-1 @SEA",6,-,2/21,2,1,2,0,0.412,
,"Player Note
Cody Bellinger CHC - 1B,OF

6:10 pm @ARI",8,-,12/31,10,3,6,2,1.246,
,"New Player Note
Zach Neto LAA - SS

Bot 7, 3-5 vs DET",2,-,0/4,1,0,0,0,0.429,
,"Player Note
Jack Suwinski PIT - OF

W, 3-2 vs NYY",14,-,10/44,5,2,9,5,0.813,
,"Player Note
Christian Bethancourt TB - C,1B

L, 4-5 @BAL",1,-,1/3,1,0,0,0,1.000,
,"No new player Notes
Vinnie Pasquantino KC - 1B
IL60
L, 1-7 vs HOU",7,-,8/29,3,2,2,0,0.861,
,"New Player Note
Jonah Heim TEX - C

L, 2-9 @CLE",28,-,28/108,16,2,18,2,0.672,
,"Player Note
Brent Rooker OAK - OF

Top 7, 0-6 vs SD",21,-,22/80,13,5,16,1,0.929,
,"Player Note
Xander Bogaerts SD - SS

Top 7, 6-0 @OAK",46,-,44/177,21,5,20,8,0.706,
,"New Player Note
LaMonte Wade Jr. SF - 1B,OF

Bot 9, 11-6 @COL",33,-,31/110,18,3,13,0,0.794,
,"New Player Note
Jorge Soler MIA - OF

W, 16-2 vs ATL",22,-,23/87,16,8,16,0,0.910,
,"New Player Note
Alex Kirilloff MIN - 1B,OF

W, 4-0 @CWS",15,-,10/58,5,1,4,0,0.519,
