,Name,GP*,Pos Rank,IP*,SV,K,ERA,WHIP,QS,
,"Player Note
Aaron Nola PHI - SP

L, 5-6 @STL",5,-,28.1,0,22,5.40,1.34,3,
,"Player Note
Gerrit Cole NYY - SP 

L, 2-3 @PIT",31,-,192.0,0,208,2.81,1.05,22,
,"Player Note
Jhoan Duran MIN - RP

W, 4-0 @CWS",55,-,58.1,26,78,2.47,1.11,0,
,"Player Note
Hunter Greene CIN - SP

L, 4-8 @NYM",8,-,39.0,0,51,3.69,1.49,2,
,"Player Note
Zack Wheeler PHI - SP

L, 5-6 @STL",28,-,171.1,0,193,3.41,1.04,19,
,"New Player Note
Alexis Díaz CIN - RP

L, 4-8 @NYM",66,-,64.1,37,84,2.10,1.03,0,
,"No new player Notes
Nick Lodolo CIN - SP
IL60
L, 4-8 @NYM",4,-,21.2,0,31,4.98,1.71,1,
,"Player Note
Kodai Senga NYM - SP

W, 8-4 vs CIN",4,-,21.0,0,25,4.29,1.52,1,
,"New Player Note
Reid Detmers LAA - SP
DTD
Bot 7, 3-5 vs DET",4,-,19.0,0,22,8.05,1.53,0,
,"No new player Notes
Dustin May LAD - SP
IL60
Top 7, 5-1 @SEA",4,-,18.0,0,15,3.00,1.06,1,
,"Player Note
Kyle Bradish BAL - SP

W, 5-4 vs TB",1,-,2.1,0,1,27.00,5.14,0,
,"Player Note
Hunter Brown HOU - SP,RP

W, 7-1 @KC",4,-,21.1,0,25,2.53,1.31,2,
,"Player Note
Mitch Keller PIT - SP

W, 3-2 vs NYY",18,-,109.0,0,120,4.54,1.26,8,
,"New Player Note
Mason Miller OAK - SP

Top 7, 0-6 vs SD",2,-,13.0,0,11,1.38,0.77,2,
,"Player Note
Eduardo Rodriguez DET - SP

Bot 7, 5-3 @LAA",5,-,31.0,0,37,2.03,1.10,3,
,"Player Note
Brad Boxberger CHC - RP

6:10 pm @ARI",7,-,5.2,0,5,7.94,1.76,0,
,"Player Note
Tanner Houck BOS - SP,RP

L, 2-3 @TOR",1,-,5.0,0,5,7.20,1.20,0,
,"New Player Note
Clay Holmes NYY - RP

L, 2-3 @PIT",28,-,26.2,12,31,2.36,1.05,0,
,"Player Note
Bobby Miller LAD - SP

Top 7, 5-1 @SEA",6,-,32.2,0,31,4.13,1.29,3,
,"Player Note
Zach Eflin TB - SP,RP

L, 4-5 @BAL",21,-,120.2,0,120,3.43,1.02,14,
,"No new player Notes
Brusdar Graterol LAD - RP

Top 7, 5-1 @SEA",4,-,4.0,0,3,2.25,2.00,0,
,"No new player Notes
Kendall Graveman HOU - RP

W, 7-1 @KC",4,-,4.0,0,3,0.00,1.00,0,
,"Player Note
Brayan Bello BOS - SP

L, 2-3 @TOR",6,-,36.0,0,27,4.75,1.17,4,
,"Player Note
JP Sears OAK - SP,RP

Top 7, 0-6 vs SD",2,-,10.2,0,6,5.06,1.31,0,
,"No new player Notes
Gregory Santos CWS - RP

L, 0-4 vs MIN",9,-,10.1,2,12,6.10,1.45,0,
,"New Player Note
Cole Ragans KC - SP,RP

L, 1-7 vs HOU",2,-,11.2,0,16,3.09,1.29,1,
,"Player Note
Sonny Gray MIN - SP

W, 4-0 @CWS",7,-,42.2,0,42,2.32,1.03,5,
,"Player Note
Brandon Williamson CIN - SP

L, 4-8 @NYM",3,-,17.2,0,17,3.57,1.30,2,
,"New Player Note
Chase Silseth LAA - SP,RP
IL7
Bot 7, 3-5 vs DET",1,-,3.2,0,4,12.27,2.18,0,
,"Player Note
Jesse Scholtens CWS - SP,RP

L, 0-4 vs MIN",3,-,14.0,0,7,7.07,1.57,0,
,"Player Note
Logan Allen CLE - SP

W, 9-2 vs TEX",2,-,9.0,0,7,9.00,1.56,0,
,"Player Note
Jesús Luzardo MIA - SP

W, 16-2 vs ATL",2,-,11.0,0,11,6.55,1.73,1,
,"Player Note
Taj Bradley TB - SP

L, 4-5 @BAL",2,-,11.0,0,12,6.55,1.36,0,
,"Player Note
Seth Lugo SD - SP,RP

Top 7, 6-0 @OAK",2,-,10.1,0,9,7.84,1.55,1,
