name,team,position,adp,olinerank,sosrank,playerscore
Bijan Robinson,ATL,RB2,5,10,1,16
AJ Brown,PHI,WR6,9,2,10,21
Tyreek Hill,MIA,WR2,3,14,7,24
Saquon Barkley,PHI,RB6,14,2,10,26
JaMarr Chase,CIN,WR3,4,12,11,27
Christian McCaffrey,SF,RB1,1,9,19,29
Breece Hall,NYJ,RB3,6,13,11,30
AmonRa St Brown,DET,WR4,7,2,21,30
Jonathan Taylor,IND,RB4,11,10,9,30
Drake London,ATL,WR11,19,10,1,30
CeeDee Lamb,DAL,WR1,2,11,20,33
Garrett Wilson,NYJ,WR7,10,13,11,34
Jahmyr Gibbs,DET,RB5,13,2,21,36
Justin Jefferson,MIN,WR5,8,9,21,38
Puka Nacua,LAR,WR8,12,9,19,40
Isiah Pacheco,KC,RB10,24,4,13,41
Jalen Hurts,PHI,QB2,29,2,10,41
Kyren Williams,LAR,RB8,17,9,19,45
Chris Olave,NO,WR12,20,25,3,48
Jaylen Waddle,MIA,WR17,28,14,7,49
Travis Kelce,KC,TE2,33,4,13,50
Marvin Harrison Jr,ARI,WR9,15,23,12,50
DeVonta Smith,PHI,WR22,39,2,10,51
Brandon Aiyuk,SF,WR14,23,9,19,51
DJ Moore,CHI,WR20,35,14,3,52
DeVon Achane,MIA,RB11,31,14,7,52
Patrick Mahomes II,KC,QB3,36,4,13,53
Sam LaPorta,DET,TE1,30,2,21,53
Deebo Samuel Sr,SF,WR15,26,9,19,54
Mike Evans,TB,WR13,22,26,8,56
Michael Pittman Jr,IND,WR21,38,10,9,57
Cooper Kupp,LAR,WR18,32,9,19,60
Davante Adams,LV,WR10,18,20,24,62
Derrick Henry,BAL,RB7,16,16,30,62
Josh Allen,BUF,QB1,25,16,24,65
Travis Etienne Jr,JAC,RB9,21,26,19,66
Anthony Richardson,IND,QB5,50,10,9,69
DK Metcalf,SEA,WR19,34,27,11,72
Tee Higgins,CIN,WR26,49,12,11,72
Nico Collins,HOU,WR16,27,19,27,73
Rachaad White,TB,RB13,41,26,8,75
Josh Jacobs,GB,RB12,40,15,23,78
David Montgomery,DET,RB18,58,2,21,81
Alvin Kamara,NO,RB17,53,25,3,81
Rashee Rice,KC,WR32,64,4,13,81
Lamar Jackson,BAL,QB4,37,16,30,83
Amari Cooper,CLE,WR24,43,9,31,83
Kenneth Walker III,SEA,RB16,46,27,11,84
James Cook,BUF,RB15,45,16,24,85
Kyle Pitts,ATL,TE6,75,10,1,86
Keenan Allen,CHI,WR34,69,14,3,86
Trey McBride,ARI,TE4,52,23,12,87
Joe Burrow,CIN,QB8,65,12,11,88
Joe Mixon,HOU,RB14,44,19,27,90
Malik Nabers,NYG,WR23,42,26,23,91
Aaron Jones,MIN,RB21,63,9,21,93
Mark Andrews,BAL,TE3,47,16,30,93
DAndre Swift,CHI,RB24,76,14,3,93
Terry McLaurin,WAS,WR31,59,20,14,93
Stefon Diggs,HOU,WR25,48,19,27,94
James Conner,ARI,RB19,60,23,12,95
Kyler Murray,ARI,QB7,61,23,12,96
Raheem Mostert,MIA,RB25,77,14,7,98
Diontae Johnson,CAR,WR35,70,21,7,98
Dak Prescott,DAL,QB9,68,11,20,99
CJ Stroud,HOU,QB6,54,19,27,100
Chris Godwin,TB,WR33,66,26,8,100
Zay Flowers,BAL,WR28,55,16,30,101
Christian Kirk,JAC,WR30,57,26,19,102
Tank Dell,HOU,WR29,56,19,27,102
George Kittle,SF,TE7,78,9,19,106
