Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK▼,TOV,PF
1,Virginia,34,29,5,.853,21.61,9.38,,15,3,,16,1,,8,2,,80.6,68.4,,40.7,28.0,60.5,.463,10.1,28.1,.359,14.5,20.0,.726,13.2,40.2,16.6,6.44,6.47,10.8,17.6
2,Georgia,32,22,10,.688,19.58,8.93,,10,8,,14,4,,6,4,,89.8,79.2,,40.6,30.9,65.5,.471,9.81,28.8,.341,18.3,24.2,.754,13.0,38.2,14.9,8.38,6.09,10.7,17.0
3,Michigan,33,31,2,.939,32.93,14.54,,19,1,,14,1,,11,0,,87.3,68.9,,40.2,30.4,60.1,.507,9.12,25.2,.362,17.3,23.2,.746,11.0,40.2,18.6,5.82,5.97,12.1,15.5
4,UC Irvine,34,23,11,.676,3.66,-1.40,,15,5,,12,4,,7,5,,77.4,68.4,,40.4,28.4,61.1,.464,5.76,16.9,.340,14.9,21.5,.692,11.6,40.4,16.1,7.76,5.91,12.7,15.7
5,Syracuse,32,15,17,.469,10.30,9.55,,6,12,,12,6,,2,7,,75.0,74.3,,40.8,27.3,58.6,.465,7.16,21.8,.329,13.3,20.6,.648,10.3,34.2,12.8,6.19,5.91,11.0,16.4
6,Kansas,33,23,10,.697,21.11,14.87,,12,6,,14,2,,5,6,,75.6,69.4,,40.3,26.8,59.0,.453,7.36,21.1,.350,14.8,19.2,.767,10.1,38.8,14.3,5.48,5.73,10.7,14.4
7,Seton Hall,33,21,12,.636,13.46,8.46,,10,10,,12,5,,6,5,,70.3,65.3,,40.0,25.4,58.2,.435,4.76,15.6,.305,14.8,20.5,.723,12.5,35.8,13.1,9.21,5.67,11.1,18.8
8,Southern California,32,18,14,.563,10.59,11.17,,7,13,,9,7,,5,6,,78.6,77.9,,40.8,26.8,59.0,.454,6.22,19.8,.314,18.8,26.0,.724,11.4,36.5,15.3,6.34,5.66,12.5,18.7
9,Utah Valley,32,25,7,.781,5.37,-1.76,,14,4,,15,0,,6,7,,80.8,68.6,,40.5,29.7,58.8,.505,6.78,19.8,.342,14.7,21.1,.696,12.0,36.8,18.7,9.53,5.59,14.1,18.6
10,Long Island University,34,24,10,.706,-4.94,-7.91,,15,3,,14,1,,10,9,,74.1,71.1,,40.1,27.4,57.1,.481,5.97,16.5,.361,13.2,19.8,.668,11.4,35.0,13.6,7.82,5.38,13.0,17.6
11,Florida Atlantic,33,18,15,.545,3.79,1.95,,9,9,,11,4,,4,8,,78.7,74.3,,40.5,28.2,61.2,.461,7.85,23.6,.332,14.3,20.2,.710,11.9,38.8,13.2,5.88,5.36,12.3,17.6
12,Kennesaw State,34,21,13,.618,0.14,-1.99,,10,10,,13,3,,4,8,,83.4,76.1,,40.3,27.6,61.9,.446,9.41,26.9,.350,18.6,27.0,.691,13.9,40.3,14.3,7.09,5.29,11.9,20.0
13,Connecticut,34,29,5,.853,22.93,10.55,,17,3,,15,2,,9,2,,77.5,65.1,,40.3,28.3,58.6,.482,8.32,23.6,.352,12.6,17.6,.716,11.6,36.6,18.4,6.88,5.26,11.2,18.0
14,Merrimack,34,23,11,.676,-4.27,-6.33,,17,3,,11,0,,9,8,,68.5,66.5,,40.4,22.2,53.4,.416,8.06,24.6,.327,16.1,20.4,.788,8.12,28.7,12.4,8.21,5.15,9.56,16.3
15,Arkansas,33,25,8,.758,22.10,12.28,,13,5,,17,1,,5,5,,90.1,80.2,,40.6,32.2,64.4,.500,8.12,21.3,.381,17.6,23.6,.747,11.2,36.1,16.9,7.36,5.12,8.97,17.0
16,Florida,33,26,7,.788,27.92,13.14,,16,2,,14,1,,8,2,,86.8,72.0,,40.0,30.8,64.4,.478,7.36,23.9,.308,17.8,25.2,.710,16.1,45.4,16.6,6.70,5.06,11.9,17.8
17,Alabama,32,23,9,.719,22.70,14.45,,13,5,,12,3,,7,3,,91.7,83.5,,40.3,30.2,65.9,.458,12.7,35.3,.358,18.8,24.5,.765,12.2,40.6,16.1,6.44,5.06,9.78,18.5
18,West Georgia,32,15,17,.469,-10.93,-5.77,,8,10,,10,5,,4,11,,76.6,79.6,,40.5,28.3,63.3,.447,7.09,21.1,.336,12.9,18.4,.700,12.0,37.0,12.8,6.47,4.97,11.3,16.8
