FBRank,TEAM,OPP. RECORD (2022),OPP. WINNING % (2022)
32,Eagles,161-123-4,0.566
31,Dolphins,158-127-2,0.554
30,Patriots,156-128-3,0.549
29,Cowboys,156-128-4,0.549
28,Giants,157-129-2,0.549
27,Jets,155-129-3,0.545
26,Bills,155-131-2,0.542
25,Commanders,153-133-2,0.535
24,Rams,152-133-3,0.533
23,Raiders,150-136-2,0.524
22,Cardinals,148-147-3,0.519
21,Chargers,149-139,0.517
20,Broncos,148-138-2,0.517
19,Seahawks,148-138-2,0.517
18,49ers,147-142-0,0.514
17,Chiefs,147-140,0.512
16,Bengals,146-140-2,0.51
15,Bears,143-145-1,0.497
14,Vikings,143-145,0.497
13,Lions,143-146,0.495
12,Ravens,138-147-2,0.484
11,Buccaneers,138-148-2,0.483
10,Jaguars,135-148-4,0.477
9,Packers,137-151-1,0.476
8,Steelers,134-151-2,0.47
7,Browns,131-154-2,0.46
6,Panthers,130-157-2,0.453
5,Titans,127-157-4,0.448
4,Colts,124-162-2,0.434
3,Texans,123-163-2,0.431
2,Saints,122-164-3,0.427
1,Falcons,119-167-3,0.417
