"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Yency Almonte","LAD","3.01","17.0%","4.5%","33.3%","","4.7","135","0","1","92","121","46","62","64","15068"
"Evan Phillips","LAD","2.18","26.6%","4.3%","32.7%","","20.4","233","0","2","69","188","26","60","78","17734"
"Ryne Stanek","HOU","3.19","13.8%","3.8%","28.8%","","8.8","224","0","1","100","72","31","98","92","15947"
"Ryan Helsley","STL","2.04","31.0%","8.8%","32.7%","","18.6","239","0","19","66","172","76","58","63","18138"
"Edwin Diaz","NYM","1.69","42.6%","4.1%","42.1%","","27.8","235","0","32","27","240","39","66","113","14710"
"Emmanuel Clase","CLE","1.97","24.7%","2.2%","30.4%","","22.2","271","0","42","55","278","35","58","78","21032"
"Cionel Perez","BAL","3.62","14.5%","6.4%","27.9%","","9.1","234","0","1","90","95","29","93","99","19614"
"Anthony Bass","- - -","3.03","19.3%","6.0%","32.2%","","12.2","275","0","0","84","133","71","80","88","7982"
"Jason Adam","TBR","2.09","24.5%","5.0%","35.2%","","11.9","237","0","8","80","159","66","61","68","11861"
"Erik Swanson","SEA","2.30","29.1%","6.4%","30.2%","0.6","15.6","206","1","3","68","249","47","73","103","16587"
"Justin Verlander","HOU","2.66","23.4%","6.3%","26.5%","52.4","","666","28","0","82","230","57","66","84","8700"
"Daniel Bard","COL","2.49","18.0%","4.7%","30.6%","","17.3","245","0","34","83","101","41","78","76","7115"
"Caleb Ferguson","LAD","3.05","14.1%","3.5%","29.3%","0.9","3.4","142","1","0","97","73","24","90","89","19349"
"Alexis Diaz","CIN","2.76","19.6%","7.5%","30.6%","","9.8","255","0","10","99","92","64","75","61","21132"
"Jhoan Duran","MIN","2.22","27.4%","4.5%","32.6%","","14.0","266","0","8","53","201","74","78","102","21029"
"Devin Williams","MIL","2.04","27.5%","0.9%","33.9%","","20.8","240","0","15","60","117","27","79","91","15816"
"Bryan Abreu","HOU","2.96","25.0%","3.8%","30.5%","","12.9","248","0","2","68","122","28","94","117","16609"
"Matt Moore","TEX","2.83","14.8%","4.4%","29.3%","","12.5","304","0","5","98","79","34","94","90","1890"
"Brock Burke","TEX","3.31","20.1%","7.1%","28.2%","","8.9","328","0","0","88","135","91","84","93","17968"
"Ron Marinaccio","NYY","2.70","17.7%","5.3%","31.4%","","4.0","181","0","0","103","84","38","83","75","23488"
"Adam Ottavino","NYM","2.35","24.4%","3.2%","32.8%","","10.3","258","0","3","70","181","75","76","95","1247"
"A.J. Minter","ATL","2.39","29.2%","8.8%","31.0%","","19.4","271","0","5","68","230","58","71","98","18655"
"James Karinchak","CLE","2.92","25.6%","5.3%","32.8%","","9.1","160","0","3","78","107","43","88","94","20151"
"Zack Thompson","STL","3.72","9.6%","6.3%","26.1%","-2.1","2.6","136","1","1","99","71","71","77","63","25918"
"Seth Martinez","HOU","2.76","15.5%","5.9%","28.9%","","4.0","155","0","0","99","98","65","83","81","21045"
"Jordan Romano","TOR","3.31","20.2%","6.9%","30.6%","","15.1","258","0","36","87","126","52","81","89","16122"
"Dylan Lee","ATL","2.57","24.4%","5.3%","31.6%","","10.7","201","0","0","78","216","81","77","94","19996"
"Tony Gonsolin","LAD","3.12","16.9%","5.6%","28.7%","24.8","","498","24","0","93","125","69","68","71","19388"
"Alex Vesia","LAD","2.79","24.2%","6.6%","30.6%","","14.1","227","0","1","76","121","30","88","100","25007"
"Julio Urias","LAD","2.81","18.1%","6.7%","28.2%","29.6","","689","31","0","95","148","107","75","78","14765"
"Scott Barlow","KCR","2.96","19.0%","6.9%","33.2%","","8.1","290","0","24","87","126","101","79","84","14993"
"Hayden Wesneski","CHC","2.18","19.7%","4.5%","27.2%","6.1","0.2","132","4","0","91","173","74","73","84","27581"
"Kyle Nelson","ARI","4.02","10.6%","7.7%","26.0%","-0.1","3.8","151","1","0","110","79","22","85","83","20515"
