"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","xwOBA","Barrel%","Off","maxEV","playerid"
"Matt Carpenter","NYY","154","15","0","105","102","155","283","217","13","1.138",".362","13.7%","19.4","107.7","8090"
"Aaron Judge","NYY","696","62","16","117","113","200","251","207","106","1.111",".463","26.2%","86.1","118.4","15640"
"Yordan Alvarez","HOU","561","37","1","111","85","175","205","185","78","1.019",".462","21.0%","52.9","117.4","19556"
"Livan Soto","LAA","59","1","1","173","99","43","122","181","0",".996",".283","0.0%","6.0","101.2","22471"
"Paul Goldschmidt","STL","651","35","7","126","96","145","168","177","49",".981",".367","11.5%","61.7","112.3","9218"
"Mike Trout","LAA","499","40","1","112","125","136","232","176","59",".999",".395","19.7%","42.4","114.4","10155"
"Sean Bouchard","COL","97","3","0","139","114","259","131","158","1",".954",".360","2.0%","6.7","107.9","21270"
"Tom Murphy","SEA","42","1","0","164","139","239","101","168","4",".894",".420","19.0%","2.8","110.5","13499"
"Jose Altuve","HOU","604","28","18","109","65","137","156","164","34",".921",".354","7.7%","41.9","109.8","5417"
"Joey Meneses","WSN","240","13","1","127","96","75","154","156","17",".930",".332","9.9%","12.8","110.9","14366"
"Freddie Freeman","LAD","708","21","13","123","64","142","120","157","52",".918",".403","10.1%","52.6","112.3","5361"
"Will Brennan","CLE","45","1","2","131","40","56","96","155","2",".900",".320","5.3%","3.2","108.8","25660"
"Manny Machado","SDP","644","32","9","116","91","117","151","152","44",".898",".338","9.8%","41.9","112.4","11493"
"Rob Refsnyder","BOS","177","6","1","136","117","106","127","146","12",".881",".374","10.9%","10.9","109.9","13770"
"Nolan Arenado","STL","620","30","5","99","51","100","155","151","40",".891",".339","8.2%","35.4","111.4","9777"
"Albert Pujols","STL","351","24","1","87","69","95","181","151","31",".895",".365","12.0%","14.0","111.7","1177"
"Austin Riley","ATL","693","38","2","108","107","98","165","142","71",".878",".378","15.7%","32.5","115.9","18360"
"Juan Soto","- - -","664","27","6","86","64","243","135","145","53",".853",".401","12.4%","32.0","113.2","20123"
"Mookie Betts","LAD","639","35","12","94","72","103","170","144","46",".873",".344","9.7%","37.3","109.0","13611"
"Joc Pederson","SFG","433","23","3","107","102","116","160","144","43",".874",".367","15.1%","22.6","112.8","11899"
"Rafael Devers","BOS","614","27","3","113","84","102","151","141","51",".879",".361","11.5%","26.8","113.7","17350"
"Oswald Peraza","NYY","57","1","2","124","71","132","82","146","2",".832",".343","5.0%","2.3","104.6","22823"
"Conner Capel","- - -","59","3","1","109","76","105","140","149","3",".875",".339","6.8%","3.0","108.5","19983"
"Tyler Stephenson","CIN","183","6","1","140","114","78","105","134","8",".854",".318","6.6%","7.7","106.1","17988"
"Trayce Thompson","- - -","255","13","4","128","161","150","162","142","21",".860",".366","16.4%","15.8","111.9","9952"
"William Contreras","ATL","376","20","2","118","122","124","147","138","31",".860",".347","13.4%","14.0","115.2","20503"
"Royce Lewis","MIN","41","2","0","105","55","31","167","146","2",".867",".319","5.7%","2.3","114.0","20437"
"Eloy Jimenez","CHW","327","16","0","116","99","108","138","144","33",".858",".365","14.7%","14.7","113.4","17484"
"Kris Bryant","COL","181","5","0","116","66","112","109","125","9",".851",".344","6.7%","4.7","107.9","15429"
"Shohei Ohtani","LAA","666","34","11","110","109","136","165","142","72",".875",".385","16.8%","31.8","119.1","19755"
"Bryce Harper","PHI","426","18","11","111","90","129","146","138","37",".877",".380","12.8%","18.1","114.3","11579"
"Nathaniel Lowe","TEX","645","27","2","125","103","93","128","143","44",".851",".344","9.9%","27.3","113.0","19566"
"Michael Harris II","ATL","441","19","20","124","107","57","140","136","31",".853",".335","10.1%","24.4","112.8","25931"
"Julio Rodriguez","SEA","560","28","25","119","117","90","151","146","48",".853",".337","13.1%","33.4","117.2","23697"
"Yandy Diaz","TBR","558","9","3","112","48","176","85","146","20",".824",".365","4.8%","23.9","114.3","16578"
"Pete Alonso","NYM","685","40","5","96","83","117","159","143","59",".869",".354","12.3%","32.0","116.5","19251"
"Jeff McNeil","NYM","589","9","4","121","46","81","82","143","13",".836",".323","2.7%","31.4","110.0","15362"
"Jazz Chisholm Jr.","MIA","241","14","12","101","121","104","182","139","25",".860",".345","16.6%","14.1","109.6","20454"
"Vinnie Pasquantino","KCR","298","10","1","106","51","148","104","137","20",".832",".374","8.8%","10.5","112.7","27676"
"Garrett Mitchell","MIL","68","2","8","188","182","106","95","136","4",".832",".266","11.8%","5.1","109.9","27555"
"Andres Gimenez","CLE","557","17","20","122","91","77","113","140","24",".837",".326","6.2%","28.4","109.9","19950"
"Nick Maton","PHI","85","5","0","112","151","141","170","135","3",".855",".306","6.7%","4.3","107.3","21635"
"Danny Jansen","TOR","248","15","1","88","80","127","171","140","23",".855",".368","13.1%","12.0","109.3","16535"
"Xander Bogaerts","BOS","631","15","8","125","84","113","100","134","29",".833",".323","6.5%","28.7","113.0","12161"
"Jose Ramirez","CLE","685","29","20","96","54","127","157","139","35",".869",".320","6.6%","36.0","114.2","13510"
"Carlos Correa","MIN","590","22","0","117","92","130","118","140","46",".834",".363","11.4%","20.7","114.6","14162"
"Taylor Ward","LAA","564","23","5","112","96","134","129","137","46",".833",".361","12.1%","23.9","112.6","17548"
"Jose Abreu","CHW","679","15","0","121","73","115","95","138","47",".824",".373","9.5%","26.9","113.0","15676"
"Stone Garrett","ARI","84","4","3","127","142","43","170","131","5",".848",".268","9.4%","3.0","108.8","19273"
"Alex Bregman","HOU","656","23","1","90","53","167","131","136","35",".820",".350","7.3%","23.7","109.2","17678"
"Corbin Carroll","ARI","115","4","2","114","119","83","155","130","4",".830",".293","5.5%","4.9","107.5","25878"
"Willson Contreras","CHC","487","22","4","93","94","111","144","132","33",".815",".364","10.5%","15.2","116.2","11609"
"Byron Buxton","MIN","382","28","6","84","137","112","203","136","37",".833",".358","16.4%","19.6","113.5","14161"
"Starling Marte","NYM","505","16","18","117","85","62","114","136","25",".814",".336","6.8%","20.8","113.3","9241"
"Garrett Stubbs","PHI","121","5","2","111","110","138","128","128","4",".812",".275","5.2%","5.5","104.9","18067"
"Kyle Schwarber","PHI","669","46","10","82","132","154","185","128","76",".827",".375","20.1%","21.3","114.8","16478"
"J.T. Realmuto","PHI","562","22","21","109","94","87","131","128","44",".820",".351","11.3%","24.9","110.4","11739"
"Adley Rutschman","BAL","470","13","4","101","82","174","128","133","25",".806",".342","7.9%","22.5","110.9","26288"
"Mark Mathias","- - -","91","6","3","105","148","124","173","132","6",".825",".298","11.5%","4.4","109.1","18032"
"Brandon Nimmo","NYM","673","16","3","109","76","126","102","134","33",".800",".342","7.0%","26.6","111.9","12927"
"Anthony Rizzo","NYY","548","32","6","74","83","133","171","133","40",".817",".349","10.9%","16.4","113.3","3473"
"George Springer","TOR","583","25","14","98","77","116","137","132","35",".814",".342","8.3%","25.7","113.6","12856"
"Jake Fraley","CIN","247","12","4","99","97","126","134","121","12",".812",".333","7.3%","7.6","110.0","19260"
"Vladimir Guerrero Jr.","TOR","706","32","8","100","74","103","138","132","59",".818",".348","11.2%","19.3","118.4","19611"
"Stuart Fairchild","- - -","110","5","0","112","137","87","140","122","6",".800",".317","9.5%","1.4","107.6","20321"
"Trea Turner","LAD","708","21","27","117","82","76","109","128","40",".809",".335","7.6%","29.6","112.5","16252"
"Brandon Drury","- - -","568","28","2","101","98","80","148","123","41",".813",".316","10.4%","11.5","112.4","11615"
"Luis Arraez","MIN","603","8","4","114","32","104","70","131","18",".795",".333","3.6%","21.0","107.3","18568"
"Daniel Vogelbach","- - -","461","18","0","100","109","190","125","128","29",".793",".350","10.6%","11.7","110.9","14130"
"Bryan Reynolds","PIT","614","27","7","105","102","109","129","125","32",".807",".329","7.9%","16.0","113.2","19326"
"Brendan Donovan","STL","468","5","2","113","66","153","63","129","11",".773",".339","3.4%","14.0","107.0","24679"
"Will Smith","LAD","578","24","1","95","73","116","132","127","43",".807",".352","10.3%","14.9","109.0","19197"
"Jason Vosler","SFG","111","4","1","114","116","108","132","127","3",".812",".312","4.3%","3.2","109.4","16686"
"Teoscar Hernandez","TOR","535","25","6","116","128","80","150","129","52",".807",".351","15.0%","15.0","114.1","13066"
"Kyle Tucker","HOU","609","30","25","90","70","122","148","129","46",".808",".353","10.1%","23.9","111.3","18345"
"Bo Bichette","TOR","697","24","13","120","100","74","120","129","48",".802",".334","9.6%","20.1","112.4","19612"
"Drew Waters","KCR","109","5","0","122","165","138","160","125","7",".803",".293","12.3%","2.9","110.6","20505"
"Alejandro Kirk","TOR","541","14","0","103","48","146","87","129","28",".786",".351","6.7%","10.4","110.1","22581"
"Hunter Renfroe","MIL","522","29","1","97","103","89","152","124","39",".807",".323","10.9%","12.9","112.5","15464"
"Christian Walker","ARI","667","36","2","85","87","124","152","122","53",".804",".359","11.5%","16.9","112.6","13419"
"Rhys Hoskins","PHI","672","30","2","100","111","128","139","122","47",".794",".338","11.1%","13.8","112.2","16472"
"Vaughn Grissom","ATL","156","5","5","120","96","84","96","121","8",".792",".326","7.4%","5.7","107.1","26031"
"Michael Brantley","HOU","277","5","1","107","49","141","85","127","13",".785",".374","6.0%","7.7","108.2","4106"
"Eugenio Suarez","SEA","629","31","0","104","140","146","149","131","52",".791",".339","14.8%","19.3","111.4","12552"
"Austin Slater","SFG","325","7","12","124","121","147","93","124","20",".774",".351","10.5%","12.7","109.4","16153"
