"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"David Hensley","HOU","6","1","0","259","0","209","670","605","1","2.633","20.0%","3.2","97.8","25111"
"Ramon Urias","BAL","7","1","0","345","129","0","478","521","2","2.143","40.0%","3.3","92.6","18795"
"Tucupita Marcano","PIT","1","0","0","343","0","0","0","491","0","2.000","0.0%","0.5","98.2","22871"
"Gabriel Moreno","TOR","10","1","0","197","0","251","251","377","1","1.700","12.5%","3.1","92.4","22664"
"Donny Sands","PHI","1","0","0","","0","1197","","357","0","1.000","","0.2","","18603"
"Peyton Burdick","MIA","10","2","0","172","88","0","387","354","2","1.600","25.0%","2.9","92.2","25459"
"Hanser Alberto","LAD","9","0","0","215","0","133","81","306","0","1.417","0.0%","2.0","81.6","11902"
"Guillermo Heredia","ATL","5","0","0","258","88","0","129","299","0","1.400","0.0%","1.2","93.2","18721"
"Julio Rodriguez","SEA","12","1","0","192","75","0","279","314","1","1.417","10.0%","2.9","95.5","23697"
"Otto Lopez","TOR","10","0","0","259","45","126","0","307","0","1.367","0.0%","2.1","85.5","19608"
"Austin Wynns","SFG","16","2","0","143","28","75","258","284","2","1.367","14.3%","3.2","89.7","15271"
"Willi Castro","DET","9","1","2","207","150","0","298","284","1","1.333","16.7%","2.3","91.7","17338"
"Albert Pujols","STL","31","5","0","101","86","116","369","271","6","1.348","27.3%","5.6","92.9","1177"
"Jose Altuve","HOU","37","3","0","115","24","170","314","263","2","1.303","6.7%","6.5","80.3","5417"
"Tim Locastro","NYY","4","0","1","173","0","0","167","262","0","1.250","0.0%","1.0","90.5","15124"
"Bryan De La Cruz","MIA","51","3","1","182","95","23","233","253","6","1.269","15.8%","9.0","94.7","19600"
"Joc Pederson","SFG","35","1","0","172","76","205","222","250","3","1.273","13.0%","6.1","90.2","11899"
"Sean Bouchard","COL","52","2","0","179","102","276","199","226","1","1.231","3.7%","7.7","87.5","21270"
"Yandy Diaz","TBR","9","0","0","230","100","140","84","249","1","1.181","16.7%","1.4","99.2","16578"
"Whit Merrifield","TOR","47","4","0","152","77","27","238","240","3","1.203","7.9%","7.4","89.9","11281"
"Mike Trout","LAA","54","4","0","145","100","163","291","237","8","1.249","22.9%","8.3","92.2","10155"
"Garrett Mitchell","MIL","21","1","4","250","168","57","161","232","2","1.176","16.7%","4.2","94.5","27555"
"Kyle Higashioka","NYY","29","2","0","173","93","43","198","235","3","1.189","13.6%","4.4","93.6","5517"
"Kyle Schwarber","PHI","56","6","2","82","118","278","323","223","5","1.208","18.5%","8.2","94.9","16478"
"Jeff McNeil","NYM","46","2","0","151","0","78","120","230","3","1.151","7.0%","7.0","88.8","15362"
"Brandon Nimmo","NYM","39","2","0","154","45","123","147","229","2","1.144","6.5%","5.8","90.4","12927"
"Ryan O'Hearn","KCR","12","0","0","173","38","105","122","225","1","1.136","10.0%","1.7","94.1","16442"
"Pete Alonso","NYM","42","3","0","127","53","199","203","226","5","1.162","16.7%","5.9","89.5","19251"
"Jesus Sanchez","MIA","18","1","0","191","147","133","202","217","2","1.132","20.0%","2.4","89.8","19913"
"Matt Olson","ATL","51","6","0","114","130","141","293","212","9","1.165","30.0%","6.6","95.7","14344"
"Teoscar Hernandez","TOR","49","5","0","119","92","51","285","220","10","1.133","27.0%","6.4","92.1","13066"
"Wil Myers","SDP","29","3","1","143","152","165","258","216","4","1.134","26.7%","4.2","83.8","10047"
"Livan Soto","LAA","45","0","1","187","70","56","114","214","0","1.111","0.0%","6.2","83.9","22471"
"Garrett Cooper","MIA","11","0","0","258","161","218","81","208","0","1.045","0.0%","1.3","89.9","15279"
"Brendan Rodgers","COL","29","2","0","134","76","124","181","191","2","1.088","10.0%","3.0","90.0","17907"
"Evan Longoria","SFG","20","2","0","143","111","60","215","205","2","1.122","14.3%","2.3","94.3","9368"
"Triston Casas","BOS","51","3","0","129","97","320","176","203","3","1.069","11.1%","5.2","87.2","22514"
"Jack Suwinski","PIT","48","3","1","120","111","324","209","202","5","1.097","21.7%","5.9","91.7","22244"
"Cal Raleigh","SEA","34","4","0","108","146","111","313","210","5","1.120","25.0%","4.1","89.8","21534"
"Taylor Ward","LAA","54","4","1","121","58","70","223","203","8","1.075","18.2%","6.6","92.2","17548"
"Ji-Man Choi","TBR","31","1","0","162","116","203","180","209","5","1.067","27.8%","3.6","94.0","5452"
"Drew Waters","KCR","41","4","0","151","187","123","271","195","4","1.069","20.0%","4.3","83.3","20505"
"Kolten Wong","MIL","37","3","2","98","72","226","215","191","3","1.066","12.5%","4.1","85.3","12532"
"Vinnie Pasquantino","KCR","57","2","1","138","24","154","94","192","2","1.014","4.3%","5.7","88.7","27676"
"Luis Gonzalez","SFG","6","0","0","258","147","0","0","191","0","1.000","0.0%","0.6","72.8","20332"
"Nelson Velazquez","CHC","22","0","1","172","141","218","190","189","2","1.043","20.0%","2.1","92.1","23359"
"Gio Urshela","MIN","52","1","0","178","87","145","73","195","3","1.003","8.3%","4.9","90.0","10681"
"Conner Capel","OAK","36","2","1","150","100","105","167","197","2","1.042","8.0%","3.6","87.4","19983"
"Mitch Haniger","SEA","54","4","0","141","133","163","204","196","4","1.038","12.9%","5.6","92.5","14274"
"George Springer","TOR","47","4","1","111","77","80","223","189","4","1.036","11.1%","4.7","92.2","12856"
"Bryan Reynolds","PIT","55","3","1","114","88","131","191","183","6","1.027","18.2%","5.3","96.2","19326"
"Sam Huff","TEX","23","2","0","94","117","218","247","188","4","1.023","30.8%","2.3","98.5","22209"
"Hunter Renfroe","MIL","51","4","0","114","78","94","196","181","3","1.010","7.9%","4.7","92.4","15464"
"Luis Urias","MIL","36","1","0","140","61","33","137","180","3",".992","10.7%","3.4","87.6","16622"
"Jesse Winker","SEA","23","1","0","115","78","218","118","189","1",".949","7.7%","2.1","84.7","13590"
"Wander Franco","TBR","45","1","3","126","50","167","155","187","2",".986","5.9%","5.3","83.1","23667"
"J.D. Martinez","BOS","46","4","0","111","108","82","234","176","4",".999","12.5%","3.4","90.7","6184"
"Chas McCormick","HOU","35","1","1","164","103","179","89","181","0",".957","0.0%","2.9","83.1","19599"
"Jordan Luplow","ARI","16","0","0","229","138","150","0","171","0",".929","0.0%","1.3","81.9","16424"
"Marcell Ozuna","ATL","27","2","0","129","131","44","223","170","2",".987","11.1%","2.1","88.6","10324"
"J.D. Davis","SFG","45","3","0","129","128","133","194","174","4",".978","14.8%","3.7","93.6","16219"
"Oswald Peraza","NYY","28","1","1","145","80","135","107","176","1",".949","5.0%","2.1","83.4","22823"
"Shea Langeliers","OAK","46","3","0","89","59","164","218","179","3",".970","8.8%","4.0","89.1","25816"
"Manny Machado","SDP","52","3","2","133","111","115","165","172","4",".959","11.8%","4.9","90.2","11493"
"Trayce Thompson","LAD","32","2","1","114","124","224","174","168","3",".945","17.6%","3.1","90.7","9952"
"Lars Nootbaar","STL","47","2","0","111","75","153","189","169","6",".968","18.2%","3.9","93.3","21454"
"David Bote","CHC","27","1","0","121","98","133","188","165","1",".954","5.6%","2.0","93.7","14593"
"Joey Meneses","WSN","53","3","0","125","100","113","161","162","3",".940","8.3%","3.1","88.2","14366"
"Harold Castro","DET","35","1","0","143","51","36","98","169","2",".929","6.7%","2.6","85.0","14691"
"Eric Haase","DET","31","2","0","115","73","122","167","169","3",".959","13.0%","2.3","85.0","14111"
"Jake Meyers","HOU","11","0","1","247","164","0","0","167","1",".909","14.3%","1.1","91.2","20308"
"Yordan Alvarez","HOU","42","0","0","166","107","150","93","166","5",".929","18.5%","3.1","91.2","19556"
"Josh Rojas","ARI","43","1","4","151","113","139","125","158","3",".933","11.1%","3.9","86.7","19734"
"Brendan Donovan","STL","46","1","0","107","38","182","105","163","2",".894","6.1%","3.2","92.6","24679"
"Charlie Blackmon","COL","18","0","0","206","147","133","81","144","0",".944","0.0%","0.9","86.9","7859"
"Aaron Judge","NYY","55","2","0","104","123","388","127","162","5",".878","22.7%","3.8","99.6","15640"
"Brian O'Keefe","SEA","4","0","0","345","225","314","0","165","0",".833","0.0%","0.3","87.6","16680"
"Jared Young","CHC","8","0","0","137","55","299","0","157","1",".833","20.0%","0.5","90.2","20404"
"Mike Yastrzemski","SFG","55","4","0","97","105","109","220","157","6",".950","16.2%","3.9","93.7","14854"
"Jeremy Pena","HOU","39","3","0","107","81","0","206","160","4",".923","12.5%","2.8","94.6","21636"
"Rob Refsnyder","BOS","19","1","0","153","166","0","158","153","1",".898","10.0%","1.3","86.6","13770"
"Danny Jansen","TOR","40","2","0","101","90","188","183","159","1",".920","3.8%","2.7","92.5","16535"
