"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Jhoulys Chacin","COL","0.0%","26.9%","","0.1","1","8","0","0","124","37","0","176","114","2608"
"David Price","LAD","0.0%","15.4%","","-0.1","0","8","0","1","170","0","0","78","49","3184"
"Liam Hendriks","CHW","6.7%","36.8%","","5.0","16","36","0","7","53","144","0","50","47","3548"
"Jose Cisnero","DET","0.0%","30.7%","","1.5","13","43","0","0","102","67","0","97","95","6399"
"Daniel Bard","COL","4.0%","34.2%","","6.4","15","42","0","6","47","275","0","46","69","7115"
"Kirby Yates","ATL","0.0%","33.3%","","0.0","1","4","0","0","139","37","0","78","0","9073"
"Ryan Weber","NYY","0.0%","32.4%","","0.3","1","11","0","0","87","","0","80","105","10160"
"Mychal Givens","NYM","0.0%","33.7%","0.2","1.0","9","26","1","0","56","165","0","94","147","10430"
"Corey Dickerson","STL","0.0%","11.1%","","-0.1","0","6","0","0","189","0","0","235","137","10762"
"Chris Martin","LAD","9.1%","33.1%","","6.1","18","42","0","1","32","660","0","41","78","11847"
"Jacob Barnes","NYY","0.0%","32.0%","","0.3","2","8","0","0","86","","0","96","140","12323"
"Jace Peterson","MIL","0.0%","25.0%","","0.1","0","3","0","0","115","","0","0","0","12325"
"Matt Barnes","BOS","15.4%","32.7%","","1.5","7","37","0","4","127","84","0","64","67","12863"
"Alex Claudio","NYM","0.0%","18.0%","","0.0","2","13","0","0","115","37","0","70","38","12890"
"Orlando Arcia","ATL","0.0%","10.0%","","-0.1","0","4","0","0","262","0","0","78","0","13185"
"Ildemaro Vargas","WSN","0.0%","0.0%","","0.1","0","3","0","0","115","","0","0","0","13324"
"Josh Hader","SDP","5.0%","32.2%","","5.1","13","35","0","6","53","477","0","42","69","14212"
"Dereck Rodriguez","MIN","0.0%","25.0%","","0.8","2","15","0","0","103","72","0","87","87","14509"
"Andres Machado","WSN","9.8%","28.5%","","-1.3","9","68","0","0","124","47","102","93","70","14681"
"Edwin Diaz","NYM","18.2%","53.3%","","4.1","17","29","0","3","7","623","0","36","93","14710"
"Scott Barlow","KCR","4.5%","32.2%","","3.5","12","39","0","3","104","87","0","62","48","14993"
"Yency Almonte","LAD","0.0%","40.0%","","0.9","3","13","0","0","87","","0","0","0","15068"
"Tyler Rogers","SFG","2.2%","29.2%","","3.2","12","61","0","0","76","147","0","75","97","15541"
"Luis Torrens","SEA","0.0%","6.3%","","0.2","0","5","0","0","193","","0","80","70","15905"
"Yonny Chirinos","TBR","4.5%","27.0%","0.8","0.9","6","30","1","0","78","217","0","91","111","16401"
"Foster Griffin","TOR","20.0%","29.6%","","0.2","2","8","0","0","85","72","0","80","70","16432"
"Vinny Nittoli","PHI","0.0%","16.0%","","-0.7","0","5","0","0","226","0","0","78","0","16754"
"Reed Garrett","WSN","0.0%","30.3%","","0.2","2","8","0","0","63","73","0","141","137","16866"
"Sean Newcomb","CHC","11.1%","33.3%","","1.2","4","13","0","0","65","","0","20","38","16943"
"Raisel Iglesias","ATL","6.1%","34.4%","","5.5","18","53","0","0","56","330","0","69","104","17130"
"Javy Guerra","TBR","4.0%","22.7%","","0.1","6","37","0","0","146","43","0","66","42","17292"
"Albert Abreu","NYY","0.0%","22.2%","","0.0","0","2","0","0","79","","0","120","174","17485"
"Evan Phillips","LAD","0.0%","31.7%","","5.4","18","40","0","0","28","220","0","71","126","17734"
"Jose Alvarado","PHI","0.0%","31.8%","","7.9","20","36","0","1","2","733","0","21","46","17780"
"Trent Thornton","TOR","0.0%","17.2%","","0.1","1","7","0","0","111","36","0","40","0","17948"
"Pete Fairbanks","TBR","0.0%","36.6%","","3.5","12","24","0","3","11","217","0","50","70","17998"
"Garrett Stubbs","PHI","0.0%","20.0%","","0.1","1","2","0","0","4","","0","0","0","18067"
"Jermaine Palacios","MIN","0.0%","0.0%","","0.0","0","2","0","0","193","","0","239","174","18371"
"Scott Effross","NYY","9.1%","30.8%","","0.3","4","18","0","2","102","72","0","74","63","18384"
"Junior Fernandez","PIT","0.0%","18.1%","","-0.5","2","14","0","0","170","18","0","117","43","18496"
"Sam Hentges","CLE","0.0%","32.2%","","3.8","13","37","0","1","50","235","0","48","66","18548"
"Kyle Dowdy","CIN","5.0%","17.9%","","0.1","3","27","0","0","148","37","0","99","86","19285"
"Andrew Vasquez","SFG","0.0%","31.4%","","0.6","4","7","0","0","35","147","0","39","0","19482"
