"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"J.P. Feyereisen","TBR","2.43","23.3%","7.1%","29.9%","2.5","6.3","86","2","1","90","144","0","39","44","16610"
"Tyler Kinley","COL","2.57","21.0%","1.5%","29.4%","","8.8","100","0","0","79","165","0","88","109","18297"
"Ryan Weber","NYY","4.65","5.4%","6.1%","29.1%","","0.0","37","0","1","96","108","78","52","55","10160"
"Hunter Brown","HOU","2.96","18.8%","5.9%","31.4%","3.8","1.5","80","2","0","70","114","0","86","103","25880"
"Yency Almonte","LAD","3.01","17.0%","4.5%","33.3%","","4.7","135","0","1","92","121","46","62","64","15068"
"Scott Alexander","SFG","2.35","14.3%","5.8%","30.4%","1.3","1.6","63","4","2","67","293","47","59","74","10591"
"Jose Cisnero","DET","3.91","3.8%","0.0%","27.4%","","1.0","105","0","0","130","44","0","109","84","6399"
"Pete Fairbanks","TBR","1.03","40.2%","2.2%","34.4%","","11.3","87","0","8","27","458","35","53","93","17998"
"Evan Phillips","LAD","2.18","26.6%","4.3%","32.7%","","20.4","233","0","2","69","188","26","60","78","17734"
"Ryne Stanek","HOU","3.19","13.8%","3.8%","28.8%","","8.8","224","0","1","100","72","31","98","92","15947"
"Fernando Cruz","CIN","3.34","18.8%","3.0%","30.0%","1.3","1.3","64","2","0","90","73","56","96","86","7048"
"Ryan Helsley","STL","2.04","31.0%","8.8%","32.7%","","18.6","239","0","19","66","172","76","58","63","18138"
"Edwin Diaz","NYM","1.69","42.6%","4.1%","42.1%","","27.8","235","0","32","27","240","39","66","113","14710"
"Matthew Boyd","SEA","2.70","9.4%","3.2%","31.8%","","1.0","53","0","0","112","59","0","78","56","15440"
"Emmanuel Clase","CLE","1.97","24.7%","2.2%","30.4%","","22.2","271","0","42","55","278","35","58","78","21032"
"Matt Gage","TOR","3.05","12.0%","6.5%","27.3%","","0.4","50","0","0","105","72","64","74","58","17381"
"Cionel Perez","BAL","3.62","14.5%","6.4%","27.9%","","9.1","234","0","1","90","95","29","93","99","19614"
"Danny Coulombe","MIN","3.08","0.0%","0.0%","25.2%","","0.2","53","0","0","141","36","0","104","70","13293"
"Ryne Nelson","ARI","2.24","14.5%","6.4%","27.7%","2.9","","69","3","0","117","98","89","64","53","26253"
"Drey Jameson","ARI","4.49","17.3%","7.6%","27.6%","5.0","","98","4","0","75","126","67","87","96","26260"
"Anthony Bass","- - -","3.03","19.3%","6.0%","32.2%","","12.2","275","0","0","84","133","71","80","88","7982"
"Jason Adam","TBR","2.09","24.5%","5.0%","35.2%","","11.9","237","0","8","80","159","66","61","68","11861"
"Angel Zerpa","KCR","7.59","0.0%","10.5%","23.9%","-1.1","0.2","44","2","0","127","36","152","87","68","22717"
"Erik Swanson","SEA","2.30","29.1%","6.4%","30.2%","0.6","15.6","206","1","3","68","249","47","73","103","16587"
"Mark Appel","PHI","3.12","5.0%","6.3%","24.8%","","0.8","40","0","0","108","61","0","91","96","14823"
"Justin Verlander","HOU","2.66","23.4%","6.3%","26.5%","52.4","","666","28","0","82","230","57","66","84","8700"
"Daniel Bard","COL","2.49","18.0%","4.7%","30.6%","","17.3","245","0","34","83","101","41","78","76","7115"
"Luke Bard","- - -","5.60","1.7%","4.8%","25.7%","","0.2","59","0","0","128","41","0","75","58","14288"
