"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Aaron Jones","RB","GB","1","28","28","47","32","14","39","46","24.7","88.2"
"Raheem Mostert","RB","MIA","3","132","44","65","31","8","39","39","73.9","56.0"
"Austin Ekeler","RB","LAC","1","41","41","51","39","12","49","51","22.4","54.6"
"Pharaoh Brown","TE","NE","1","25","25","35","0","8","8","8","13.1","52.4"
"Tyreek Hill","WR","MIA","3","137","46","67","0","26","18","26","65.2","47.6"
"Brian Robinson Jr.","RB","WAS","3","101","34","51","47","5","50","51","46.5","46.0"
"Anthony Richardson","QB","IND","2","87","44","67","15","0","69","69","39.6","45.5"
"Kenneth Walker III","RB","SEA","3","114","38","58","41","9","48","50","51.7","45.4"
"Jordan Love","QB","GB","3","184","61","97","8","0","60","60","68.6","37.3"
"Tua Tagovailoa","QB","MIA","3","188","63","93","5","0","59","59","69.8","37.1"
"Patrick Mahomes II","QB","KC","3","188","63","90","9","0","69","69","68.4","36.4"
"Christian McCaffrey","RB","SF","3","166","55","80","36","8","43","44","60.3","36.3"
"Kirk Cousins","QB","MIN","3","204","68","100","2","0","70","70","72.8","35.7"
"Mike Evans","WR","TB","2","100","50","72","0","18","12","18","35.7","35.7"
"Nick Chubb","RB","CLE","2","54","27","34","52","7","59","59","19.1","35.4"
"Jerome Ford","RB","CLE","3","113","38","49","36","6","41","42","39.8","35.2"
"Tyler Allgeier","RB","ATL","3","85","28","42","45","7","51","52","29.1","34.2"
"Justin Herbert","QB","LAC","3","215","72","100","4","0","60","60","72.4","33.7"
"Brandon Aiyuk","WR","SF","2","88","44","70","0","16","13","16","29.2","33.2"
"J.K. Dobbins","RB","BAL","1","30","30","47","27","10","33","37","9.7","32.3"
"Cam Akers","RB","LAR","1","28","28","35","79","0","79","79","8.9","31.8"
"D'Andre Swift","RB","PHI","2","77","39","54","38","6","43","44","24.4","31.7"
"Davante Adams","WR","LV","3","160","53","94","0","23","16","23","50.2","31.4"
"Derrick Henry","RB","TEN","3","94","31","53","54","7","60","62","29.4","31.3"
"Zack Moss","RB","IND","2","120","60","85","40","6","45","46","37.2","31.0"
"Kyren Williams","RB","LAR","2","129","65","80","22","9","27","32","39.4","30.5"
"Robbie Chosen","WR","MIA","1","42","42","58","0","2","2","2","12.8","30.5"
"James Conner","RB","ARI","3","138","46","73","37","6","42","43","41.2","29.9"
"Keenan Allen","WR","LAC","3","197","66","92","1","20","18","21","58.8","29.8"
"Russell Wilson","QB","DEN","3","192","64","100","4","0","58","58","57.3","29.8"
"Andy Dalton","QB","CAR","1","79","79","100","3","0","76","76","23.5","29.7"
"Justice Hill","RB","BAL","2","62","31","45","31","5","35","35","18.2","29.4"
"David Montgomery","RB","DET","2","85","43","63","44","1","45","45","24.8","29.2"
"Josh Allen","QB","BUF","3","200","67","93","6","0","61","61","58.0","29.0"
"Breece Hall","RB","NYJ","3","64","21","39","41","9","44","50","18.3","28.6"
"Gus Edwards","RB","BAL","3","79","26","37","37","0","37","37","22.5","28.5"
"Jerick McKinnon","RB","KC","3","64","21","31","5","13","16","17","18.0","28.1"
"Lamar Jackson","QB","BAL","3","211","70","100","15","0","56","56","58.7","27.8"
"Roschon Johnson","RB","CHI","3","74","25","42","23","15","36","38","20.6","27.8"
"Blake Bell","TE","KC","1","26","26","40","0","12","8","12","7.2","27.7"
"Tony Pollard","RB","DAL","3","163","54","72","38","9","45","47","45.2","27.7"
"Jared Goff","QB","DET","3","206","69","100","5","0","55","55","56.9","27.6"
"Tony Jones Jr.","RB","NO","3","77","26","38","27","8","32","35","21.1","27.4"
"Jimmy Garoppolo","QB","LV","3","169","56","99","7","0","63","63","46.3","27.4"
"Tank Dell","WR","HOU","3","137","46","63","0","15","11","15","37.1","27.1"
"Jalen Hurts","QB","PHI","2","143","72","100","15","0","54","54","38.7","27.1"
"Isiah Pacheco","RB","KC","3","97","32","46","36","9","43","45","26.2","27.0"
"Kalif Raymond","WR","DET","3","72","24","35","1","14","11","15","19.2","26.7"
"Jakobi Meyers","WR","LV","2","109","55","83","0","20","15","20","28.6","26.2"
"Josh Reynolds","WR","DET","2","102","51","75","0","13","9","13","26.6","26.1"
"James Cook","RB","BUF","3","129","43","60","34","10","42","44","33.4","25.9"
"Bijan Robinson","RB","ATL","3","146","49","73","27","12","36","38","37.5","25.7"
"Brock Purdy","QB","SF","3","202","67","97","5","0","50","50","51.8","25.6"
"Justin Jefferson","WR","MIN","3","199","66","98","0","19","14","19","49.8","25.0"
"Saquon Barkley","RB","NYG","2","111","56","80","26","10","34","36","27.5","24.8"
"Baker Mayfield","QB","TB","2","139","70","100","10","0","59","59","34.4","24.7"
"Justin Fields","QB","CHI","3","178","59","100","13","0","63","63","43.9","24.7"
"Geno Smith","QB","SEA","3","198","66","100","4","0","56","56","48.6","24.5"
"Deshaun Watson","QB","CLE","3","227","76","98","7","0","52","52","55.5","24.4"
"C.J. Stroud","QB","HOU","3","217","72","100","5","0","61","61","51.8","23.9"
"Travis Kelce","TE","KC","2","90","45","63","0","19","12","19","21.5","23.9"
"Jayden Reed","WR","GB","3","112","37","59","1","18","9","19","26.6","23.8"
"Daniel Jones","QB","NYG","3","182","61","97","13","0","66","66","43.2","23.7"
"Mac Jones","QB","NE","3","226","75","100","5","0","60","60","53.1","23.5"
"Deebo Samuel","WR","SF","3","178","59","86","4","16","14","20","41.5","23.3"
"Rashee Rice","WR","KC","3","71","24","34","1","20","15","21","16.5","23.2"
"Kenny Pickett","QB","PIT","3","179","60","100","4","0","63","63","41.5","23.2"
"Brandon Johnson","WR","DEN","3","99","33","52","0","9","6","9","22.9","23.1"
"Joshua Dobbs","QB","ARI","3","188","63","100","6","0","50","50","43.3","23.0"
"Romeo Doubs","WR","GB","3","135","45","71","0","15","8","15","30.9","22.9"
"Jordan Addison","WR","MIN","3","134","45","66","0","14","10","14","30.5","22.8"
"Rashid Shaheed","WR","NO","3","117","39","58","3","10","10","13","26.3","22.5"
"Nico Collins","WR","HOU","3","144","48","66","0","16","10","16","32.0","22.2"
"Travis Etienne Jr.","RB","JAC","3","156","52","74","31","8","38","40","34.4","22.1"
"Jahmyr Gibbs","RB","DET","3","93","31","45","33","14","44","47","19.8","21.3"
"Sam Howell","QB","WAS","3","198","66","100","3","0","53","53","42.1","21.3"
"Javonte Williams","RB","DEN","3","85","28","44","42","14","52","56","18.0","21.2"
"Trevor Lawrence","QB","JAC","3","205","68","98","7","0","62","62","43.3","21.1"
"River Cracraft","WR","MIA","3","70","23","34","0","11","9","11","14.7","21.0"
"DeVonta Smith","WR","PHI","2","142","71","99","0","11","8","11","29.8","21.0"
"Nelson Agholor","WR","BAL","2","77","39","52","0","13","12","13","16.2","21.0"
"Joe Mixon","RB","CIN","2","82","41","70","32","12","40","44","16.8","20.5"
"Jaylen Warren","RB","PIT","3","76","25","42","22","21","38","43","15.6","20.5"
"Puka Nacua","WR","LAR","2","132","66","82","2","27","20","28","27.0","20.5"
"Rachaad White","RB","TB","2","105","53","76","32","7","39","39","21.2","20.2"
"Stefon Diggs","WR","BUF","3","171","57","80","0","19","15","19","33.9","19.8"
"Tee Higgins","WR","CIN","2","106","53","91","0","19","8","19","20.9","19.7"
"Donald Parham Jr.","TE","LAC","3","108","36","50","0","6","6","6","21.3","19.7"
"Dameon Pierce","RB","HOU","3","104","35","48","38","9","45","47","20.1","19.3"
"Gardner Minshew II","QB","IND","3","126","42","59","2","0","56","56","24.2","19.2"
