Rank,TIERS,Name,Team,Pos,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Christian McCaffrey,SF,RB1,9,2 out of 5 stars,0
2,1,CeeDee Lamb,DAL,WR1,7,3 out of 5 stars,0
3,1,Tyreek Hill,MIA,WR2,6,2 out of 5 stars,0
4,1,Ja'Marr Chase,CIN,WR3,12,2 out of 5 stars,+3
5,1,Bijan Robinson,ATL,RB2,12,4 out of 5 stars,0
6,1,Breece Hall,NYJ,RB3,12,2 out of 5 stars,-2
7,1,Amon-Ra St. Brown,DET,WR4,5,4 out of 5 stars,+1
8,1,Justin Jefferson,MIN,WR5,6,3 out of 5 stars,-2
9,2,A.J. Brown,PHI,WR6,5,2 out of 5 stars,0
10,2,Garrett Wilson,NYJ,WR7,12,4 out of 5 stars,+2
11,2,Jonathan Taylor,IND,RB4,14,2 out of 5 stars,-1
12,2,Puka Nacua,LAR,WR8,6,3 out of 5 stars,+2
13,2,Jahmyr Gibbs,DET,RB5,5,3 out of 5 stars,0
14,2,Saquon Barkley,PHI,RB6,5,4 out of 5 stars,-3
15,3,Marvin Harrison Jr.,ARI,WR9,11,3 out of 5 stars,+1
16,3,Derrick Henry,BAL,RB7,14,3 out of 5 stars,+2
17,3,Kyren Williams,LAR,RB8,6,3 out of 5 stars,-2
18,3,Davante Adams,LV,WR10,10,3 out of 5 stars,+1
19,3,Drake London,ATL,WR11,12,4 out of 5 stars,+4
20,3,Chris Olave,NO,WR12,12,3 out of 5 stars,+4
21,3,Travis Etienne Jr.,JAC,RB9,12,2 out of 5 stars,-4
22,3,Mike Evans,TB,WR13,11,3 out of 5 stars,+8
23,3,Brandon Aiyuk,SF,WR14,9,2 out of 5 stars,+10
24,3,Isiah Pacheco,KC,RB10,6,3 out of 5 stars,-4
25,3,Josh Allen,BUF,QB1,12,1 out of 5 stars,-3
26,3,Deebo Samuel Sr.,SF,WR15,9,2 out of 5 stars,+1
27,3,Nico Collins,HOU,WR16,14,3 out of 5 stars,+2
28,3,Jaylen Waddle,MIA,WR17,6,2 out of 5 stars,+7
29,4,Jalen Hurts,PHI,QB2,5,2 out of 5 stars,+3
30,4,Sam LaPorta,DET,TE1,5,3 out of 5 stars,-2
31,4,De'Von Achane,MIA,RB11,6,3 out of 5 stars,-10
32,4,Cooper Kupp,LAR,WR18,6,3 out of 5 stars,+4
33,4,Travis Kelce,KC,TE2,6,3 out of 5 stars,-7
34,4,DK Metcalf,SEA,WR19,10,3 out of 5 stars,+6
35,4,DJ Moore,CHI,WR20,7,4 out of 5 stars,+7
36,4,Patrick Mahomes II,KC,QB3,6,3 out of 5 stars,-5
37,4,Lamar Jackson,BAL,QB4,14,4 out of 5 stars,+2
38,4,Michael Pittman Jr.,IND,WR21,14,4 out of 5 stars,-1
39,4,DeVonta Smith,PHI,WR22,5,2 out of 5 stars,+8
40,4,Josh Jacobs,GB,RB12,10,1 out of 5 stars,-15
41,4,Rachaad White,TB,RB13,11,5 out of 5 stars,-7
42,4,Malik Nabers,NYG,WR23,11,3 out of 5 stars,+9
43,4,Amari Cooper,CLE,WR24,10,3 out of 5 stars,+10
44,4,Joe Mixon,HOU,RB14,14,3 out of 5 stars,-1
45,5,James Cook,BUF,RB15,12,2 out of 5 stars,-7
46,5,Kenneth Walker III,SEA,RB16,10,4 out of 5 stars,-1
47,5,Mark Andrews,BAL,TE3,14,3 out of 5 stars,+2
48,5,Stefon Diggs,HOU,WR25,14,3 out of 5 stars,-7
49,5,Tee Higgins,CIN,WR26,12,2 out of 5 stars,+9
50,5,Anthony Richardson,IND,QB5,14,5 out of 5 stars,0
51,5,George Pickens,PIT,WR27,9,1 out of 5 stars,+4
52,5,Trey McBride,ARI,TE4,11,5 out of 5 stars,-4
53,5,Alvin Kamara,NO,RB17,12,5 out of 5 stars,-9
54,5,C.J. Stroud,HOU,QB6,14,2 out of 5 stars,-8
55,5,Zay Flowers,BAL,WR28,14,3 out of 5 stars,+6
56,5,Tank Dell,HOU,WR29,14,3 out of 5 stars,+9
57,5,Christian Kirk,JAC,WR30,12,4 out of 5 stars,+17
58,5,David Montgomery,DET,RB18,5,3 out of 5 stars,+2
59,5,Terry McLaurin,WAS,WR31,14,3 out of 5 stars,+12
60,5,James Conner,ARI,RB19,11,2 out of 5 stars,-4
61,5,Kyler Murray,ARI,QB7,11,2 out of 5 stars,+5
62,5,Rhamondre Stevenson,NE,RB20,14,2 out of 5 stars,-5
63,5,Aaron Jones,MIN,RB21,6,3 out of 5 stars,-9
64,5,Rashee Rice,KC,WR32,6,3 out of 5 stars,+17
65,5,Joe Burrow,CIN,QB8,12,2 out of 5 stars,-6
66,6,Chris Godwin,TB,WR33,11,3 out of 5 stars,+10
67,6,Dalton Kincaid,BUF,TE5,12,2 out of 5 stars,-15
68,6,Dak Prescott,DAL,QB9,7,2 out of 5 stars,+2
69,6,Keenan Allen,CHI,WR34,7,4 out of 5 stars,0
70,6,Diontae Johnson,CAR,WR35,11,5 out of 5 stars,+17
71,6,Zamir White,LV,RB22,10,3 out of 5 stars,-4
72,6,Calvin Ridley,TEN,WR36,5,4 out of 5 stars,+5
73,6,Najee Harris,PIT,RB23,9,4 out of 5 stars,-5
74,6,Jordan Love,GB,QB10,10,5 out of 5 stars,-2
75,6,Kyle Pitts,ATL,TE6,12,3 out of 5 stars,-12
76,6,D'Andre Swift,CHI,RB24,7,2 out of 5 stars,-12
77,6,Raheem Mostert,MIA,RB25,6,3 out of 5 stars,-2
78,6,George Kittle,SF,TE7,9,4 out of 5 stars,-16
79,6,Jayden Reed,GB,WR37,10,4 out of 5 stars,0
80,6,Jaylen Warren,PIT,RB26,9,4 out of 5 stars,+4
81,6,Tony Pollard,TEN,RB27,5,3 out of 5 stars,-3
82,6,Evan Engram,JAC,TE8,12,3 out of 5 stars,-9
83,6,Brian Robinson Jr.,WAS,RB28,14,3 out of 5 stars,+10
84,6,Javonte Williams,DEN,RB29,14,4 out of 5 stars,+6
85,6,Brock Purdy,SF,QB11,9,2 out of 5 stars,+3
86,6,Jayden Daniels,WAS,QB12,14,3 out of 5 stars,+16
87,6,Devin Singletary,NYG,RB30,11,3 out of 5 stars,-2
88,7,Christian Watson,GB,WR38,10,4 out of 5 stars,+11
89,7,Xavier Worthy,KC,WR39,6,3 out of 5 stars,+5
90,7,DeAndre Hopkins,TEN,WR40,5,4 out of 5 stars,+7
91,7,Jake Ferguson,DAL,TE9,7,2 out of 5 stars,-11
92,7,Jaxon Smith-Njigba,SEA,WR41,10,3 out of 5 stars,+17
93,7,Tyjae Spears,TEN,RB31,5,3 out of 5 stars,+8
94,7,David Njoku,CLE,TE10,10,3 out of 5 stars,-11
95,7,Zack Moss,CIN,RB32,12,3 out of 5 stars,-13
96,7,Hollywood Brown,KC,WR42,6,3 out of 5 stars,-10
97,7,Caleb Williams,CHI,QB13,7,4 out of 5 stars,+8
98,7,Tua Tagovailoa,MIA,QB14,6,2 out of 5 stars,+2
99,7,Jonathon Brooks,CAR,RB33,11,4 out of 5 stars,-7
100,7,Ladd McConkey,LAC,WR43,5,3 out of 5 stars,+4
101,7,Courtland Sutton,DEN,WR44,14,2 out of 5 stars,+12
102,7,Jared Goff,DET,QB15,5,4 out of 5 stars,+1
103,7,Rome Odunze,CHI,WR45,7,4 out of 5 stars,-8
104,7,Jordan Addison,MIN,WR46,6,3 out of 5 stars,-6
105,7,Chase Brown,CIN,RB34,12,3 out of 5 stars,+5
106,7,Trevor Lawrence,JAC,QB16,12,5 out of 5 stars,+13
107,7,Brock Bowers,LV,TE11,10,4 out of 5 stars,-11
108,7,Dallas Goedert,PHI,TE12,5,4 out of 5 stars,-1
109,7,Austin Ekeler,WAS,RB35,14,3 out of 5 stars,-18
110,7,Brian Thomas Jr.,JAC,WR47,12,4 out of 5 stars,+14
111,7,Gus Edwards,LAC,RB36,5,4 out of 5 stars,+1
112,7,Jameson Williams,DET,WR48,5,4 out of 5 stars,+3
113,7,Ezekiel Elliott,DAL,RB37,7,3 out of 5 stars,-7
114,7,Tyler Lockett,SEA,WR49,10,3 out of 5 stars,+14
115,7,Jerome Ford,CLE,RB38,10,4 out of 5 stars,-1
116,7,Keon Coleman,BUF,WR50,12,2 out of 5 stars,-5
117,7,Pat Freiermuth,PIT,TE13,9,3 out of 5 stars,+10
