Rank,Name,Team,Position,PosRank
1,Ronald Acuña Jr.,ATL,OF,1
2,José Ramírez,CLE,3B,1
3,Aaron Judge,NYY,OF,2
4,Trea Turner,PHI,SS,1
5,Julio Rodríguez,SEA,OF,3
6,Kyle Tucker,HOU,OF,4
7,Bobby Witt Jr.,KC,SS,2
8,Yordan Alvarez,HOU,OF,5
9,Shohei Ohtani,LAA,SP,1
10,Mookie Betts,LAD,OF,6
11,Freddie Freeman,LAD,1B,1
12,Manny Machado,SD,3B,3
13,Austin Riley,ATL,3B,4
14,Pete Alonso,NYM,1B,2
15,Vladimir Guerrero Jr.,TOR,1B,3
16,Mike Trout,LAA,OF,7
17,Rafael Devers,BOS,3B,5
18,Juan Soto,SD,OF,8
19,Fernando Tatis Jr.,SD,SS,3
20,Corbin Burnes,MIL,SP,2
21,Gerrit Cole,NYY,SP,3
22,Shane McClanahan,TB,SP,4
23,Brandon Woodruff,MIL,SP,5
24,Jacob deGrom,TEX,SP,6
25,Sandy Alcantara,MIA,SP,7
26,Spencer Strider,ATL,SP,8
27,Aaron Nola,PHI,SP,9
28,Max Scherzer,NYM,SP,10
29,J.T. Realmuto,PHI,C,1
30,Edwin Díaz,NYM,RP,1
31,Emmanuel Clase,CLE,RP,2
32,Josh Hader,SD,RP,3
33,Paul Goldschmidt,STL,1B,4
34,Bo Bichette,TOR,SS,4
35,Kyle Schwarber,PHI,OF,10
36,Francisco Lindor,NYM,SS,5
37,Michael Harris II,ATL,OF,11
38,Nolan Arenado,STL,3B,6
39,Marcus Semien,TEX,2B,1
40,Jose Altuve,HOU,2B,2
41,Randy Arozarena,TB,OF,12
42,Corbin Carroll,ARI,OF,13
43,Daulton Varsho,TOR,C,2
44,Jordan Romano,TOR,RP,4
45,Félix Bautista,BAL,RP,5
46,Devin Williams,MIL,RP,6
47,Raisel Iglesias,ATL,RP,7
48,Ryan Pressly,HOU,RP,8
49,Ryan Helsley,STL,RP,9
50,Kenley Jansen,BOS,RP,10
51,Will Smith,LAD,C,3
52,Adley Rutschman,BAL,C,4
53,Salvador Perez,KC,C,5
54,Carlos Rodón,NYY,SP,11
55,Justin Verlander,NYM,SP,12
56,Dylan Cease,CWS,SP,13
57,Zack Wheeler,PHI,SP,14
58,Luis Castillo,SEA,SP,15
59,Kevin Gausman,TOR,SP,16
60,Framber Valdez,HOU,SP,17
61,Alek Manoah,TOR,SP,18
62,Cristian Javier,HOU,SP,19
63,Shane Bieber,CLE,SP,20
64,Max Fried,ATL,SP,21
65,Zac Gallen,ARI,SP,22
66,Yu Darvish,SD,SP,23
67,Triston McKenzie,CLE,SP,24
68,Robbie Ray,SEA,SP,25
69,Joe Musgrove,SD,SP,26
70,Tyler Glasnow,TB,SP,27
71,Matt Olson,ATL,1B,5
72,George Springer,TOR,OF,15
73,Corey Seager,TEX,SS,6
74,Teoscar Hernández,SEA,OF,16
75,Adolis García,TEX,OF,17
76,Jazz Chisholm Jr.,MIA,2B,3
77,Oneil Cruz,PIT,SS,7
78,Alex Bregman,HOU,3B,7
79,Bryan Reynolds,PIT,OF,18
80,Eloy Jiménez,CWS,OF,19
