playerid,Name,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%,BsR,Spd,BB%+,K%+,Oppo%+,EV,maxEV,xwOBA,Total Z-Score
15640,Aaron Judge,NYY,1.8,5.39,1.42,5.83,4.1,4.03,4.35,4.55,0.7,0.11,2.89,0.5,-0.92,3.33,2.65,4.45,45.17
19556,Yordan Alvarez,HOU,0.86,2.63,-0.71,3.52,3.25,3.18,3.03,3.27,-0.19,-0.47,2.17,-0.51,-0.86,3.05,2.3,4.42,28.93
10155,Mike Trout,LAA,0.42,2.96,-0.71,2.78,2.91,2.94,3.81,2.95,-0.09,-0.3,1.05,0.94,0.53,1.37,1.26,2.47,25.31
19755,Shohei Ohtani,LAA,1.59,2.3,0.71,2.05,1.6,1.63,1.87,2.23,0.11,0.51,1.05,0.36,0.71,1.98,2.89,2.18,23.77
9218,Paul Goldschmidt,STL,1.49,2.41,0.15,4.13,2.94,2.96,1.96,0.93,0.99,-0.13,1.31,-0.11,0.3,0.96,0.54,1.66,22.49
16478,Kyle Schwarber,PHI,1.62,3.62,0.57,1.31,1.06,1.22,2.45,3.05,-0.25,0.8,1.57,1.19,-1.27,2.16,1.4,1.89,22.39
5361,Freddie Freeman,LAD,1.89,0.87,1.0,3.49,2.17,2.26,0.57,0.58,1.78,0.57,1.22,-1.27,1.29,1.24,0.54,2.71,20.9
23697,Julio Rodriguez,SEA,0.85,1.64,2.7,2.16,1.75,1.52,1.46,1.32,1.42,1.38,-0.27,0.65,-0.4,1.56,2.23,0.79,20.77
18360,Austin Riley,ATL,1.78,2.74,-0.56,2.09,1.6,1.82,1.87,1.96,-0.55,-0.47,-0.04,0.29,-0.11,1.79,1.78,1.98,17.98
14161,Byron Buxton,MIN,-0.39,1.64,0.0,1.2,1.36,1.25,2.97,2.14,1.42,1.55,0.36,1.37,-1.85,1.98,0.95,1.4,17.34
20123,Juan Soto,- - -,1.58,1.53,0.0,2.06,1.71,1.79,1.0,1.15,-0.78,-0.18,4.13,-1.27,-0.16,1.1,0.85,2.65,17.15
11493,Manny Machado,SDP,1.44,2.08,0.43,2.75,1.98,1.96,1.46,0.51,0.99,0.28,0.5,-0.29,0.13,1.33,0.57,0.82,16.94
19287,Adolis Garcia,TEX,1.53,1.53,2.7,0.86,0.44,0.38,1.09,1.27,1.97,1.61,-0.68,0.94,-0.75,1.61,0.78,0.36,15.64
11739,J.T. Realmuto,PHI,0.87,0.98,2.13,1.57,1.06,1.19,0.89,0.88,2.17,1.78,-0.36,-0.19,0.59,0.77,-0.12,1.2,15.41
13611,Mookie Betts,LAD,1.41,2.41,0.86,2.43,1.67,1.71,2.01,0.48,1.42,1.26,0.1,-0.98,-0.86,0.86,-0.6,1.0,15.17
19251,Pete Alonso,NYM,1.73,2.96,-0.14,2.06,1.63,1.52,1.7,1.12,-0.81,-0.53,0.5,-0.58,-0.11,0.54,1.99,1.29,14.87
