Round,,,,
1,Nick Chubb,,,
2,Garrett Wilson,,,
3,Lamar Jackson,,,
4,Christian Watson,,,
5,James Conner,,,
7,Miles Sanders,,,
7,Skyy Moore,,,
8,Jordan Addison,,,
9,Michael Thomas,,,
10,Quentin Johnston,,,
11,Chigozem Okonkwo,,,
12,Jerome Ford,,,
13,Packers DST,,,
14,Matt Gay,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
