,Name,Team,Total Z-Score,RankDiff,LRank,ADP
0,Ronald Acuna,ATL,39.59,0.0,1.0,1.0
1,Bobby Witt,KC,20.89,0.0,2.0,2.0
2,Julio Rodriguez,SEA,21.12,-1.0,4.0,3.0
3,Corbin Carroll,ARI,25.21,-2.0,6.0,4.0
4,Mookie Betts,LAD,21.97,-6.0,11.0,5.0
5,Kyle Tucker,HOU,19.12,1.0,5.0,6.0
6,Freddie Freeman,LAD,20.6,-1.0,8.0,7.0
7,Fernando Tatis,SD,12.96,5.0,3.0,8.0
8,Aaron Judge,NYY,31.69,-8.0,17.0,9.0
9,Juan Soto,NYY,21.3,-4.0,14.0,10.0
10,Spencer Strider,ATL,38.49,4.0,7.0,11.0
11,Shohei Ohtani,LAD,24.0,0.0,12.0,nan
12,Trea Turner,PHI,11.86,4.0,9.0,13.0
13,Jose Ramirez,CLE,11.61,1.0,13.0,14.0
14,Matt Olson,ATL,27.92,-4.0,19.0,15.0
15,Yordan Alvarez,HOU,22.79,-2.0,18.0,16.0
16,Gerrit Cole,NYY,25.3,2.0,15.0,17.0
17,Bryce Harper,PHI,15.19,8.0,10.0,18.0
18,Austin Riley,ATL,16.82,-1.0,20.0,19.0
19,Rafael Devers,BOS,12.47,-1.0,21.0,20.0
20,Corey Seager,TEX,16.71,-6.0,27.0,21.0
21,Pete Alonso,NYM,14.19,0.0,22.0,22.0
22,Ozzie Albies,ATL,9.39,-3.0,26.0,23.0
23,Marcus Semien,TEX,6.66,-11.0,35.0,24.0
24,Corbin Burnes,BAL,21.17,9.0,16.0,25.0
25,Francisco Lindor,NYM,15.86,3.0,23.0,26.0
26,Zack Wheeler,PHI,14.41,-2.0,29.0,27.0
27,Vladimir Guerrero,TOR,7.41,-16.0,44.0,28.0
28,Luis Robert,CWS,16.74,5.0,24.0,29.0
29,Kevin Gausman,TOR,26.53,0.0,30.0,30.0
30,Michael Harris,ATL,11.15,6.0,25.0,31.0
31,Luis Castillo,SEA,23.97,4.0,28.0,32.0
32,Bo Bichette,TOR,9.79,-8.0,41.0,33.0
33,Gunnar Henderson,BAL,17.0,-3.0,37.0,34.0
34,Jose Altuve,HOU,4.53,-5.0,40.0,35.0
35,Pablo Lopez,MIN,22.5,4.0,32.0,36.0
36,Randy Arozarena,TB,15.63,1.0,36.0,37.0
37,Elly De La Cruz,CIN,11.79,-5.0,43.0,38.0
38,Adolis Garcia,TEX,19.21,5.0,34.0,39.0
39,George Kirby,SEA,11.91,-29.0,69.0,40.0
40,Zac Gallen,ARI,22.68,8.0,33.0,41.0
41,CJ Abrams,WSH,10.01,-3.0,45.0,42.0
42,Tyler Glasnow,LAD,26.99,12.0,31.0,43.0
43,Tarik Skubal,DET,8.68,-22.0,66.0,44.0
44,Yoshinobu Yamamoto,LAD,0.0,-22.0,67.0,45.0
45,Manny Machado,SD,5.45,4.0,42.0,46.0
46,Mike Trout,LAA,13.34,-25.0,72.0,47.0
47,Nolan Jones,COL,20.69,10.0,38.0,48.0
48,Paul Goldschmidt,STL,12.43,-36.0,85.0,49.0
49,Aaron Nola,PHI,14.89,-7.0,57.0,50.0
50,Logan Webb,SF,12.28,-17.0,68.0,51.0
51,Adley Rutschman,BAL,6.84,4.0,48.0,52.0
52,Devin Williams,MIL,26.22,4.0,49.0,53.0
53,Framber Valdez,HOU,14.98,-4.0,58.0,54.0
54,Jazz Chisholm,MIA,9.54,-18.0,73.0,55.0
55,Royce Lewis,MIN,10.37,-15.0,71.0,56.0
56,Cody Bellinger,nan,7.7,11.0,46.0,57.0
57,Freddy Peralta,MIL,23.06,2.0,56.0,58.0
58,Max Fried,ATL,-3.88,-11.0,70.0,59.0
59,Matt McLain,CIN,11.08,21.0,39.0,60.0
60,Josh Hader,HOU,20.98,10.0,51.0,61.0
61,Christian Yelich,MIL,16.99,-21.0,83.0,62.0
62,Oneil Cruz,PIT,0.0,-19.0,82.0,63.0
63,Kodai Senga,NYM,23.99,5.0,59.0,64.0
64,Edwin Diaz,NYM,0.0,15.0,50.0,65.0
65,Logan Gilbert,SEA,13.48,3.0,63.0,66.0
66,Nico Hoerner,CHC,6.36,-17.0,84.0,67.0
67,Blake Snell,nan,41.71,7.0,61.0,68.0
68,Emmanuel Clase,CLE,3.26,14.0,55.0,69.0
