,Rank,Player,Sleeper Count,Overrated Count,Experts,Team_x,Positions,Yahoo,AVG,G,GS,IP,SV,xFIP-,SwStr%,F-Strike%,Barrel%_x,HardHit%,CSW%,K%+_x,BB%+_x,xERA,EV_x,ER,playerid_x,STUFFplus,LOCATIONplus,PITCHINGplus,Total Z-Score_x,Total Z-Score_y,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%_y,BsR,Spd,BB%+_y,K%+_y,Oppo%+,EV_y,maxEV,xwOBA
0,1,Aaron Judge,,,,NYY,CFRFDH,3,18,,,,,,,,,,,,,,,,,,,,,45.17,696,62,16,86.1,207,0.458,251,262,2.1,4,200,113,84,95.8,118.4,0.463
1,2,Trea Turner,,,,PHI,SS,2,26,,,,,,,,,,,,,,,,,,,,,13.16,708,21,27,29.5,128,0.35,109,76,6.5,6.4,76,82,89,88.9,112.5,0.335
2,3,Ronald Acuna ,2,,"Salfino, Sarris",ATL,RFDH,1,28,,,,,,,,,,,,,,,,,,,,,14.06,533,15,29,13.6,114,0.335,95,128,4.8,4.9,119,105,83,91.2,116.6,0.366
3,4,Jose Ramirez,,1,Salfino,CLE,3BDH,4,32,,,,,,,,,,,,,,,,,,,,,14.2,685,29,20,36,139,0.363,157,66,6,5.3,127,54,84,87.7,114.2,0.32
4,5,Julio Rodriguez,1,,Laghezza,SEA,CF,5,50,,,,,,,,,,,,,,,,,,,,,20.77,560,28,25,33.4,146,0.366,151,131,4.3,6.2,90,117,93,92,117.2,0.337
5,6,Juan Soto,1,,Sarris,SD,RF,9,74,,,,,,,,,,,,,,,,,,,,,17.15,664,27,6,32,145,0.376,135,124,-2.4,3.5,243,64,97,91,113.2,0.401
6,7,Kyle Tucker,,,,HOU,RF,6,74,,,,,,,,,,,,,,,,,,,,,14.44,609,30,25,23.9,129,0.348,148,101,4,4.9,122,70,91,90,111.3,0.353
7,8,Shohei Ohtani,,,,LAA,SPDH,52,100,28,28,166,0,67,149,606,63,332,316,149,83,2.68,87.1,43,19755,125.7,97.9,107.5,21.12,23.77,666,34,11,31.8,142,0.37,165,168,0.3,4.7,136,109,112,92.9,119.1,0.385
8,9,Mookie Betts,,,,LAD,2BRF,7,102,,,,,,,,,,,,,,,,,,,,,15.17,639,35,12,37.2,144,0.373,170,97,4.3,6,103,72,85,90.5,109,0.344
9,10,Yordan Alvarez,,,,HOU,LFDH,12,112,,,,,,,,,,,,,,,,,,,,,28.93,561,37,1,52.8,185,0.427,205,210,-0.6,3,175,85,85,95.2,117.4,0.462
10,11,Freddie Freeman,,,,LAD,1B,11,112,,,,,,,,,,,,,,,,,,,,,20.9,708,21,13,52.6,157,0.393,120,101,5.4,4.8,142,64,122,91.3,112.3,0.403
11,12,Vladimir Guerrero ,,,,TOR,1BDH,8,114,,,,,,,,,,,,,,,,,,,,,11.74,706,32,8,19.2,132,0.351,138,112,-6,3.1,103,74,92,92.8,118.4,0.348
12,13,Corbin Burnes,,,,MIL,SP,13,118,33,33,202,0,72,151,580,57,341,321,135,77,3.05,87.2,66,19361,126.2,101.9,109.2,17.97,,,,,,,,,,,,,,,,,
13,14,Manny Machado,,,,SD,3B,15,130,,,,,,,,,,,,,,,,,,,,,16.94,644,32,9,41.9,152,0.382,151,98,3,4.3,117,91,102,91.5,112.4,0.338
14,15,Bobby Witt ,,,,KC,3BSS,16,158,,,,,,,,,,,,,,,,,,,,,11.21,632,20,30,6.3,99,0.311,117,87,6.8,7.2,60,96,103,89.7,113.7,0.313
15,16,Gerrit Cole,,,,NYY,SP,14,170,33,33,200.2,0,70,143,613,95,399,319,146,79,3.31,89.4,78,13125,128.7,102.1,110.4,18.43,,,,,,,,,,,,,,,,,
16,17,Bo Bichette,,,,TOR,SS,18,186,,,,,,,,,,,,,,,,,,,,,11.74,697,24,13,20,129,0.347,120,96,-2.7,3.8,74,100,137,91.9,112.4,0.334
17,18,Pete Alonso,,,,NYM,1BDH,21,192,,,,,,,,,,,,,,,,,,,,,14.87,685,40,5,32,143,0.366,159,123,-2.5,2.9,117,83,98,89.8,116.5,0.354
18,19,Fernando Tatis ,,,,SD,SS,22,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,Mike Trout,,,,LAA,CF,17,204,,,,,,,,,,,,,,,,,,,,,25.31,499,40,1,42.4,176,0.418,232,197,-0.3,3.3,136,125,109,91.6,114.4,0.395
20,21,Paul Goldschmidt,,1,Salfino,STL,1BDH,19,210,,,,,,,,,,,,,,,,,,,,,22.49,651,35,7,61.6,177,0.419,168,115,3,3.6,145,96,105,90.7,112.3,0.367
21,22,Rafael Devers,,,,BOS,3B,20,218,,,,,,,,,,,,,,,,,,,,,13.42,614,27,3,26.8,140,0.373,151,115,-1.2,3.1,102,84,107,93.1,113.7,0.361
22,23,Austin Riley,1,,Laghezza,ATL,3B,33,226,,,,,,,,,,,,,,,,,,,,,17.98,693,38,2,32.5,142,0.377,165,157,-1.7,3,98,107,98,92.5,115.9,0.378
23,24,Sandy Alcantara,,,,MIA,SP,23,232,32,32,228.2,0,83,122,624,52,385,275,103,68,2.92,87.8,58,18684,120.4,105.3,107.4,14.84,,,,,,,,,,,,,,,,,
24,25,Jacob deGrom,,,,TEX,SP,24,292,11,11,64.1,0,39,211,699,93,318,354,189,40,2.24,89.3,22,10954,139.5,106.8,115.9,13.06,,,,,,,,,,,,,,,,,
25,26,Marcus Semien,,,,TEX,2BSS,29,292,,,,,,,,,,,,,,,,,,,,,8.75,724,26,25,12.5,107,0.317,121,68,7,6.2,92,75,91,87.3,110.1,0.306
26,27,Michael Harris ,1,,Laghezza,ATL,CF,26,294,,,,,,,,,,,,,,,,,,,,,13.67,441,19,20,24.4,136,0.368,140,101,5.9,7.2,57,107,100,89.5,112.8,0.335
27,28,Jose Altuve,,1,Salfino,HOU,2B,25,312,,,,,,,,,,,,,,,,,,,,,11.42,604,28,18,41.8,164,0.397,156,77,-1.5,5,137,65,66,85.9,109.8,0.354
28,29,Nolan Arenado,,,,STL,3B,35,314,,,,,,,,,,,,,,,,,,,,,7.86,620,30,5,35.3,151,0.381,155,82,-1.6,2.6,100,51,80,88.7,111.4,0.339
29,30,Francisco Lindor,,,,NYM,SS,37,322,,,,,,,,,,,,,,,,,,,,,11.15,706,26,16,25.4,127,0.342,116,83,3.3,5.6,100,83,98,89.3,110.7,0.331
30,31,Spencer Strider,,,,ATL,SPRP,27,332,31,20,131.2,0,58,155,602,61,360,311,169,103,2.39,88,39,27498,134.3,102.2,111.1,16.8,,,,,,,,,,,,,,,,,
31,32,Aaron Nola,,,,PHI,SP,32,344,32,32,205,0,70,126,701,71,316,324,129,43,2.74,87.7,74,16149,107.3,108.9,108.5,11.25,,,,,,,,,,,,,,,,,
32,33,Edwin Diaz,1,,Sarris,NYM,RP,28,354,61,0,62,32,27,247,711,41,381,421,222,92,1.69,85.5,9,14710,140.2,100.1,111.2,36.17,,,,,,,,,,,,,,,,,
33,34,JT Realmuto,,,,PHI,C,45,356,,,,,,,,,,,,,,,,,,,,,15.41,562,22,21,24.9,128,0.354,131,113,6.6,6.9,87,94,110,90.3,110.4,0.351
34,35,Shane McClanahan,,,,TB,SP,36,360,28,28,166.1,0,65,155,627,64,325,328,136,74,2.79,87.6,47,21483,111.9,103.2,107.4,17.54,,,,,,,,,,,,,,,,,
35,36,Justin Verlander,,,,NYM,SP,34,370,28,28,175,0,82,116,620,63,348,265,125,54,2.66,87.8,34,8700,118.2,106.8,108.6,16.28,,,,,,,,,,,,,,,,,
36,37,Emmanuel Clase,1,,Sarris,CLE,RP,30,374,77,0,72.2,42,55,167,646,22,322,304,128,46,1.97,86.3,11,21032,155.3,104.5,117.7,4.19,,,,,,,,,,,,,,,,,
37,38,Randy Arozarena,,,,TB,LFRFDH,42,380,,,,,,,,,,,,,,,,,,,,,9.7,645,20,32,13.8,125,0.336,122,79,-4.3,5.6,90,109,91,89.9,114.1,0.301
38,39,Brandon Woodruff,,,,MIL,SP,40,388,27,27,153.1,0,79,141,656,70,368,310,135,82,3.15,88.7,52,16162,113.5,107,108.6,16.75,,,,,,,,,,,,,,,,,
39,40,Max Scherzer,,,,NYM,SP,31,394,23,23,145.1,0,81,148,664,84,339,308,135,51,2.87,87.8,37,3137,106.2,103.8,105.4,12.42,,,,,,,,,,,,,,,,,
40,41,Matt Olson,,,,ATL,1B,39,400,,,,,,,,,,,,,,,,,,,,,12.78,699,34,0,15.4,120,0.344,153,136,-0.8,1.2,128,108,90,92.9,116.8,0.347
41,42,Kyle Schwarber,,,,PHI,LF,44,408,,,,,,,,,,,,,,,,,,,,,22.39,669,46,10,21.2,128,0.355,185,201,-0.8,5.2,154,132,78,93.3,114.8,0.375
