,Ronald,Acuna,Jr.
0,ATL,,
1,2.2,,
2,5.4,,
3,3.2,,
4,Yasmani,Grandal,
5,CHW,,
6,-0.4,,
7,2.6,,
8,3.0,,
9,Elias,Diaz,
10,COL,,
11,-1.4,,
12,1.4,,
13,2.8,,
14,Juan,Soto,
15,SDP,,
16,3.8,,
17,6.5,,
18,2.7,,
19,Nick,Castellanos,
20,PHI,,
21,-0.7,,
22,1.9,,
23,2.6,,
24,Vladimir,Guerrero,Jr.
25,TOR,,
26,2.8,,
27,5.1,,
28,2.3,,
29,Jonathan,India,
30,CIN,,
31,0.4,,
32,2.7,,
33,2.3,,
34,Wander,Franco,
35,TBR,,
36,2.3,,
37,4.5,,
38,2.2,,
39,Max,Stassi,
40,LAA,,
41,0.0,,
42,2.2,,
43,2.2,,
44,Avisail,Garcia,
45,MIA,,
46,-0.6,,
47,1.6,,
48,2.2,,
49,CJ,Abrams,
50,WSN,,
51,-0.3,,
52,1.8,,
53,2.1,,
54,Joey,Votto,
55,CIN,,
56,-0.9,,
57,1.2,,
58,2.1,,
59,Andrew,Vaughn,
60,CHW,,
61,-0.4,,
62,1.6,,
63,2.0,,
64,Spencer,Torkelson,
65,DET,,
66,-1.0,,
67,1.0,,
68,2.0,,
69,Nick,Senzel,
70,CIN,,
71,-0.6,,
72,1.3,,
73,1.9,,
74,Will,Smith,
75,LAD,,
76,3.9,,
77,5.7,,
78,1.8,,
79,Yoan,Moncada,
80,CHW,,
81,0.9,,
82,2.6,,
83,1.7,,
84,Hunter,Dozier,
85,KCR,,
86,-1.0,,
87,0.7,,
88,1.7,,
89,Ketel,Marte,
90,ARI,,
91,1.4,,
92,3.1,,
93,1.7,,
94,Enrique,Hernandez,
95,BOS,,
96,0.5,,
97,2.2,,
98,1.7,,
