QB
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Jordan Love,QB,GB,3.0,184.0,61.0,97.0,8.0,0.0,60.0,60.0,68.6,37.3
Russell Wilson,QB,DEN,3.0,192.0,64.0,100.0,4.0,0.0,58.0,58.0,57.3,29.8
Andy Dalton,QB,CAR,1.0,79.0,79.0,100.0,3.0,0.0,76.0,76.0,23.5,29.7
Jared Goff,QB,DET,3.0,206.0,69.0,100.0,5.0,0.0,55.0,55.0,56.9,27.6
Jimmy Garoppolo,QB,LV,3.0,169.0,56.0,99.0,7.0,0.0,63.0,63.0,46.3,27.4
RB
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Justice Hill,RB,BAL,2.0,62.0,31.0,45.0,31.0,5.0,35.0,35.0,18.2,29.4
Gus Edwards,RB,BAL,3.0,79.0,26.0,37.0,37.0,0.0,37.0,37.0,22.5,28.5
Jerick McKinnon,RB,KC,3.0,64.0,21.0,31.0,5.0,13.0,16.0,17.0,18.0,28.1
Tony Jones,RB,NO,3.0,77.0,26.0,38.0,27.0,8.0,32.0,35.0,21.1,27.4
Jaylen Warren,RB,PIT,3.0,76.0,25.0,42.0,22.0,21.0,38.0,43.0,15.6,20.5
Melvin Gordon,RB,BAL,1.0,29.0,29.0,40.0,34.0,7.0,41.0,41.0,5.5,19.0
Kendre Miller,RB,NO,1.0,21.0,21.0,34.0,43.0,5.0,48.0,48.0,3.4,16.2
Chuba Hubbard,RB,CAR,3.0,77.0,26.0,36.0,16.0,13.0,27.0,29.0,12.3,16.0
Ezekiel Elliott,RB,NE,3.0,77.0,26.0,34.0,36.0,10.0,44.0,47.0,12.3,16.0
Samaje Perine,RB,DEN,3.0,81.0,27.0,42.0,15.0,14.0,26.0,28.0,12.6,15.6
WR
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Robbie Chosen,WR,MIA,1.0,42.0,42.0,58.0,0.0,2.0,2.0,2.0,12.8,30.5
Tank Dell,WR,HOU,3.0,137.0,46.0,63.0,0.0,15.0,11.0,15.0,37.1,27.1
Kalif Raymond,WR,DET,3.0,72.0,24.0,35.0,1.0,14.0,11.0,15.0,19.2,26.7
Jakobi Meyers,WR,LV,2.0,109.0,55.0,83.0,0.0,20.0,15.0,20.0,28.6,26.2
Jayden Reed,WR,GB,3.0,112.0,37.0,59.0,1.0,18.0,9.0,19.0,26.6,23.8
Rashee Rice,WR,KC,3.0,71.0,24.0,34.0,1.0,20.0,15.0,21.0,16.5,23.2
Brandon Johnson,WR,DEN,3.0,99.0,33.0,52.0,0.0,9.0,6.0,9.0,22.9,23.1
Romeo Doubs,WR,GB,3.0,135.0,45.0,71.0,0.0,15.0,8.0,15.0,30.9,22.9
Rashid Shaheed,WR,NO,3.0,117.0,39.0,58.0,3.0,10.0,10.0,13.0,26.3,22.5
Nico Collins,WR,HOU,3.0,144.0,48.0,66.0,0.0,16.0,10.0,16.0,32.0,22.2
TE
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Pharaoh Brown,TE,NE,1.0,25.0,25.0,35.0,0.0,8.0,8.0,8.0,13.1,52.4
Blake Bell,TE,KC,1.0,26.0,26.0,40.0,0.0,12.0,8.0,12.0,7.2,27.7
Donald Parham,TE,LAC,3.0,108.0,36.0,50.0,0.0,6.0,6.0,6.0,21.3,19.7
Logan Thomas,TE,WAS,2.0,87.0,44.0,60.0,0.0,13.0,7.0,13.0,12.5,14.4
Josh Oliver,TE,MIN,3.0,77.0,26.0,38.0,0.0,10.0,9.0,10.0,10.9,14.2
