Name,Team,PA,HR,SB,BABIP+,K%+,BB%+,ISO+,wRC+,Barrels,OPS,Barrel%,Off,EV,NameASCII,PlayerId,MLBAMID
"Luke Williams","ATL",2,0,0,0,224.87785651819382,0,0,-100,1,0,1,-0.9602403230374903,102.02671813964844,"Luke Williams",19931,663897
"Luis Urías","SEA",9,0,0,176.18477141325735,249.35777093078696,0,72.71721632796583,56.96975704920894,0,0.555555555,0,-0.4705833353053831,100.46008491516113,"Luis Urias",16622,649966
"Eloy Jiménez","CHW",11,0,1,156.6086855440645,40.80399851234733,110.66898104515694,65.44549476061474,175.65080255506257,2,0.954545454,0.22222222,1.1558004441045615,100.34981282552083,"Eloy Jimenez",17484,650391
"Oneil Cruz","PIT",27,0,0,171.8256824931271,216.54904680097093,170.48032882503514,121.57253432211095,108.562579597543,5,0.72463768,0.5,0.24200197319623018,100.03567962646484,"Oneil Cruz",21711,665833
"Joey Bart","PIT",9,1,0,147.27915622630817,49.97285695407022,0,310.6853660335385,276.8481308338675,1,1.333333332,0.125,1.8055694168283052,99.9999520438058,"Joey Bart",21524,663698
"Corey Seager","TEX",22,4,0,88.09238570662868,102.0099971785563,276.67245504761,461.96819834871906,306.10555771371867,3,1.558823529,0.25,4.954691401739983,99.61679458618164,"Corey Seager",13624,608369
"Edmundo Sosa","PHI",15,2,0,190.917424801446,119.93485650986624,0,466.0280497493498,347.9813170468655,1,1.599999999,0.09090909,4.42552612321347,99.47100830078125,"Edmundo Sosa",17022,624641
"Aaron Judge","NYY",30,5,0,117.45651415804839,119.69172986724013,202.89313313347986,490.84121070461055,314.48093739006976,7,1.591666666,0.41176471,7.311328130667911,99.13629778693704,"Aaron Judge",15640,592450
"Tyler Nevin","OAK",5,0,0,0,0,243.47176073406294,0,-12.010583044348394,0,0.2,0,-0.6658510239530592,98.92134857177734,"Tyler Nevin",17893,663527
"Dominic Fletcher","CHW",7,0,0,0,192.36170893962935,173.90839948088026,0,-44.64857751427458,1,0.142857142,0.33333333,-1.171381993133807,98.90169779459636,"Dominic Fletcher",26149,666150
"Alejandro Kirk","TOR",13,0,0,140.9478171306059,34.52646021062559,187.2859687653602,59.49590438732748,170.16245645327245,1,0.916083915,0.1,0.9433838701491732,98.6066780090332,"Alejandro Kirk",22581,672386
"Lars Nootbaar","STL",19,1,1,152.73393984115683,165.69947293987607,121.13075904614952,205.60061003961624,169.8137157054448,1,0.956656346,0.1,1.742695920505118,98.07892150878907,"Lars Nootbaar",21454,663457
"Jesús Sánchez","MIA",15,0,1,103.09540949587625,59.96742825493312,153.43229571238317,0,86.22556408501548,0,0.607142857,0,-0.12159198526309092,97.12904891967773,"Jesus Sanchez",19913,660821
"Christian Yelich","MIL",28,0,3,133.64219718918653,64.25081576255049,246.5876183968728,127.09855908609924,178.04844126474816,1,0.964285714,0.05555556,2.893295411543747,97.01293606228299,"Christian Yelich",11477,592885
"Bobby Witt Jr.","KCR",29,3,1,129.8203576609036,61.90951538666298,125.93366829575771,381.7653865398893,268.8143689209817,6,1.448275862,0.27272727,5.725619573891181,96.99366760253906,"Bobby Witt Jr.",25764,677951
"Ketel Marte","ARI",28,1,0,81.82175353542705,64.25081576255049,82.19587241537685,80.65870130800708,81.80567625749345,2,0.631868131,0.09090909,-0.5832358276755992,96.83994223854758,"Ketel Marte",13613,606466
"Romy Gonzalez","BOS",8,0,0,50.33850581604249,56.105498515532574,0,81.80686845076842,-8.87578217303629,0,0.375,0,-1.1834878387964909,96.65526471819196,"Romy Gonzalez",21562,663853
"Will Benson","CIN",15,1,0,85.91284124656356,179.90228521455506,306.86459142476633,190.64783862914885,145.2602878404526,0,0.854545454,0,-0.17931920023755665,96.63034210205078,"Will Benson",21853,666181
"Daniel Vogelbach","TOR",8,1,0,211.42172569590883,112.21099703106515,0,327.2274738030737,328.96002011010455,1,1.5,0.16666667,2.0513837765456664,96.583740234375,"Daniel Vogelbach",14130,596129
"Colton Cowser","BAL",24,0,0,93.96521118549089,130.91282957034667,50.72328267469057,29.747952520891214,43.54568872605972,3,0.477272727,0.2,-1.5176040358704326,96.5228754679362,"Colton Cowser",29591,681297
"Gabriel Arias","CLE",10,0,1,132.138578559943,89.76879762485211,0,130.89098952122947,125.28923918242383,2,0.8,0.25,0.49277366432102043,96.47232151031494,"Gabriel Arias",22563,672356
"Christian Walker","ARI",25,2,0,95.45871222889733,71.96091408582203,46.029688828789176,254.1971174731564,163.7040376537012,3,1.001818181,0.15,1.747038950491476,96.04505996704101,"Christian Walker",13419,572233
"Yan Gomes","CHC",3,0,0,0,149.91857086221066,0,0,-100,0,0,0,-0.7266453295293599,96.02066040039062,"Yan Gomes",9627,543228
"Ji Hwan Bae","PIT",11,0,2,85.91284124656356,40.886882594439136,209.2258573711617,0,83.98239854411709,0,0.585858585,0,-0.23445113412311894,96.012451171875,"Ji Hwan Bae",23818,678225
"Yandy Díaz","TBR",21,1,0,39.15217138601613,21.373522966156607,57.96946608784048,130.89098952122947,53.94784818908987,2,0.54047619,0.10526316,-1.2555305329390216,95.9109673751028,"Yandy Diaz",16578,650490
"Joc Pederson","ARI",18,1,0,143.1880685151717,124.93214216029769,0,155.34268301676926,150.88286462350712,2,0.888888888,0.15384615,1.0865044833983937,95.8537591787485,"Joc Pederson",11899,592626
"Carlos Correa","MIN",24,2,0,100.67701198445454,112.21099703106515,101.44656656673993,280.4806921116867,181.09107665030237,3,1.047619047,0.1875,2.277436609089941,95.82063913345337,"Carlos Correa",14162,621043
"Garrett Cooper","BOS",6,0,0,176.18477141325735,149.6146625584722,0,109.07582481917622,128.73384661558433,0,0.833333333,0,0.21357626187161566,95.73462104797363,"Garrett Cooper",15279,643265
"Andrew Knizner","TEX",2,0,0,0,224.4219940621303,0,0,-100,0,0,0,-0.49442592920886724,95.73217010498047,"Andrew Knizner",19514,668800
"Tommy Pham","CHW",32,1,1,145.0933408529447,154.29012091771455,114.127387844092,90.26964828418669,117.87477665485697,3,0.757543103,0.16666667,0.6411136429394981,95.62213049994574,"Tommy Pham",2967,502054
"Michael A. Taylor","PIT",8,0,0,85.91284124656356,168.65839238864538,143.84277758996618,0,22.639733978140818,0,0.416666666,0,-0.7036005827755604,95.48858261108398,"Michael A. Taylor",11489,572191
"Freddy Fermin","KCR",17,0,0,256.2687583231826,132.01293765720342,71.60934089110606,81.80686845076842,229.345657395229,1,1.154411764,0.09090909,2.4963637593084096,94.97477583451705,"Freddy Fermin",21840,666023
"Randy Arozarena","TBR",18,0,0,58.72825690283941,99.74310837231477,135.26208916143955,40.90343422538421,27.860967524408913,0,0.409722222,0,-1.5632519767570723,94.94636535644531,"Randy Arozarena",19290,668227
"Matt Vierling","DET",19,0,0,117.45651415804839,94.49347082970434,192.21454692280017,130.89098952122947,131.00156642605344,0,0.835087718,0,0.7107129852400595,94.92496032714844,"Matt Vierling",21558,663837
"Yainer Diaz","HOU",15,0,0,100.67701198445454,29.92293224238805,0,87.26066011712294,86.42163258172613,2,0.666666666,0.14285714,-0.318713454468805,94.73250361851284,"Yainer Diaz",23003,673237
"Bryce Harper","PHI",24,3,0,187.44619892720627,131.17874933577593,143.84277758996618,366.16489618170044,298.7942111953029,3,1.452380952,0.21428571,5.5278898183364324,94.70422526768276,"Bryce Harper",11579,547180
"William Contreras","MIL",29,1,0,95.45871222889733,124.07054109303246,79.36153218566425,129.45223584730772,93.05318529764335,0,0.683269475,0,-0.5280885871942418,94.67696340460526,"William Contreras",20503,661388
"Dylan Moore","SEA",28,2,2,108.42139754882561,80.15071190856425,304.3397009175786,261.78197904245894,236.41633361891311,2,1.2,0.13333333,4.800342676532177,94.64739786783854,"Dylan Moore",18042,664238
"Jon Singleton","HOU",22,1,0,140.9478171306059,142.81399613974764,221.33796330767274,109.07582481917622,151.0962645299521,2,0.853535353,0.18181818,1.021004089489137,94.62378207120028,"Jon Singleton",10441,572138
"Yordan Alvarez","HOU",28,1,1,176.18477141325735,80.15071190856425,260.8626004386791,208.23566502841874,248.90200309402007,3,1.262987012,0.17647059,4.828125219837612,94.608715281767,"Yordan Alvarez",19556,670541
"Kyle McCann","OAK",14,0,0,201.3540243212786,96.18085446981468,347.8168001791193,130.89098952122947,229.83674331895844,2,1.171428571,0.28571429,1.9811159751710798,94.60786873953683,"Kyle McCann",25575,668832
"Juan Soto","NYY",31,3,0,93.96521118549089,130.30954464972467,157.0785552337594,242.3907210932194,176.72519685030645,4,0.984468338,0.22222222,2.5925395798015765,94.45828247070312,"Juan Soto",20123,665742
"Gleyber Torres","NYY",28,2,0,93.96521118549089,128.2411391434716,130.43130021933956,190.8826926154897,139.51717005814885,4,0.863095237,0.23529412,1.2822027579875306,94.37452967026654,"Gleyber Torres",16997,650402
"Jonathan Aranda","TBR",20,1,0,108.42139754882561,89.76879762485211,121.73588036703147,181.79304114714202,159.5497038284135,2,0.905555555,0.14285714,1.44188896017858,94.37094933646065,"Jonathan Aranda",21837,666018
"Vidal Bruján","MIA",8,0,0,137.4605459945017,168.65839238864538,0,0,40.36237104608521,0,0.5,0,-0.5238309839993337,94.26730346679688,"Vidal Brujan",20536,660644
"Jordan Beck","COL",22,0,1,49.09305184633514,143.10409042980413,52.306464055104875,69.90420742745037,-43.55623744934942,2,0.336363636,0.14285714,-3.3998614778389817,94.21093641008649,"Jordan Beck",31431,687597
"Shohei Ohtani","LAD",26,0,2,108.52148344473986,86.49148313784202,44.25931565041626,87.38025928431297,97.71321021941823,0,0.682692307,0,0.22857600225449026,94.15809080335829,"Shohei Ohtani",19755,660271
"Ryan McMahon","COL",24,3,0,21.47821031164089,56.219464129548456,95.8951846763967,285.97175759420224,116.39345444957833,3,0.84090909,0.15789474,0.46246485395076053,94.14382131476151,"Ryan McMahon",15112,641857
"Andrew Vaughn","CHW",26,1,0,41.45524004234446,86.31615142425197,93.6429837740007,113.8182520990456,54.82656486321946,3,0.535117056,0.16666667,-1.4588051019490957,94.0786599053277,"Andrew Vaughn",26197,683734
"Gavin Sheets","CHW",23,0,0,100.67701198445454,78.05982380694601,264.6432177657697,109.07582416472125,129.31792020260167,0,0.780193235,0,0.6320139677066057,94.01216653677133,"Gavin Sheets",19901,657757
"Corey Julks","CHW",19,1,2,176.18477141325735,118.11683864934142,320.35757901623947,186.98712742000285,229.2275043996393,1,1.169172931,0.11111111,3.1587425245997145,93.88625929090712,"Corey Julks",20311,667452
"Jake Cave","COL",19,0,1,114.55045488086762,165.69947293987607,0,0,1.687947883244087,0,0.42105263,0,-2.0781729839362715,93.82931772867839,"Jake Cave",14477,595909
"Mark Vientos","NYM",13,2,0,85.91284124656356,34.59659289533224,177.03726375240728,508.3942356453549,318.5709452363921,3,1.552447551,0.3,3.327926885812019,93.7175048828125,"Mark Vientos",22184,668901
"Leody Taveras","TEX",23,1,1,97.88042828885554,78.05982380694601,0,113.81825144459066,91.83589693442896,1,0.695652173,0.05263158,-0.040906123284428136,93.71476183439556,"Leody Taveras",18900,665750
"Gunnar Henderson","BAL",32,3,1,78.30434277203226,42.07912388664942,304.3397009175786,272.6895617207131,227.27065370944368,3,1.177083333,0.14285714,4.913722920901854,93.67699032738095,"Gunnar Henderson",26289,683002
"Matt Chapman","SFG",28,3,0,73.63957811315409,80.31351992806597,205.48968161381325,317.74639771524807,221.66639394141959,5,1.155844155,0.29411765,3.9986719262725443,93.62965752096737,"Matt Chapman",16505,656305
"Jesse Winker","WSN",22,2,1,103.09540949587625,122.66064868282886,156.91939331605687,271.8496956288672,199.50107007975674,2,1.075757575,0.16666667,2.2247037651198927,93.6069009954279,"Jesse Winker",13590,608385
"J.D. Martinez","NYM",22,1,0,85.91284124656356,245.32129781541343,52.306464055104875,133.15087165654654,46.83486342862503,1,0.515151514,0.11111111,-1.5826513026784634,93.55053117540147,"J.D. Martinez",6184,502110
"Yasmani Grandal","PIT",17,0,1,79.30416088632684,105.82487336460223,0,82.24024415565492,25.318274928663648,0,0.470588235,0,-1.3205876542543693,93.43033306415265,"Yasmani Grandal",11368,518735
"Travis d'Arnaud","ATL",18,0,0,158.60832211630506,99.94571390814043,63.93012273401706,82.24024415565492,145.06394767952628,2,0.859477123,0.15384615,0.834433286264222,93.41292982835036,"Travis d'Arnaud",7739,518595
"Kevin Pillar","LAA",14,1,0,140.9478171306059,64.12056934731379,86.95419974044013,201.3707533109546,214.88889973776023,0,1.12087912,0,1.8321182266430773,93.22472312233664,"Kevin Pillar",12434,607680
