Name,Team,xERA,K-BB%,Barrel%,CSW%,Starting,Relieving,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jared Jones","PIT",3.21,0.25108225,0.09210526,0.32318501,9.669873237609863,,231,10,0,74.27066580602701,132.31618705035973,104.89916067146288,112.786690647482,"Jared Jones",27863,683003
"Corbin Burnes","BAL",2.94,0.18773946,0.07303371,0.30282376,14.614506721496582,,261,11,0,76.71598685394764,118.87543859649122,104.64532163742692,110.42670565302143,"Corbin Burnes",19361,669203
"Nick Pivetta","BOS",4.17,0.23529412,0.11111111,0.27489177,2.0533831119537354,,119,6,0,81.54897918164417,137.99632034632035,107.20303030303029,110.13571428571429,"Nick Pivetta",15454,601713
"Zack Wheeler","PHI",2.76,0.20220588,0.06395349,0.28954672,17.137380599975586,,272,11,0,82.82042621199194,102.94588344125808,105.28427382053654,108.77530064754853,"Zack Wheeler",10310,554430
"Tanner Houck","BOS",3.26,0.19455253,0.03932584,0.31529657,19.014602661132812,,257,10,0,70.36008300529286,108.74083333333336,102.83583333333331,108.38187500000002,"Tanner Houck",19879,656557
"Nick Martinez","CIN",3.26,0.13513514,0.02739726,0.25667656,4.369922637939453,5.827023983001709,185,5,0,108.9037072986734,101.16275964391691,109.58160237388724,108.08456973293768,"Nick Martinez",12730,607259
"Tanner Bibee","CLE",4.05,0.18292683,0.08536585,0.27081244,7.689477920532227,,246,11,0,93.90971607714621,102.34287148594379,104.99748995983937,107.85993975903612,"Tanner Bibee",30134,676440
"Tarik Skubal","DET",2.42,0.26839827,0.08108108,0.32438479,17.963830947875977,,231,10,0,63.172337281860436,105.04585253456223,104.19320276497697,107.42972350230414,"Tarik Skubal",22267,669373
"Sonny Gray","STL",3.18,0.25925926,0.07563025,0.325,9.670247077941895,,189,8,0,66.02651953168044,102.50367647058822,104.78191176470588,107.19220588235297,"Sonny Gray",12768,543243
"Dylan Cease","SDP",3.12,0.23754789,0.10126582,0.30330882,16.28901481628418,,261,11,0,81.41524910557146,120.35018382352942,100.57656250000002,106.89292279411768,"Dylan Cease",18525,656302
"Kevin Gausman","TOR",4.89,0.18957346,0.09722222,0.28458943,9.44879150390625,,211,10,0,80.04122680816323,97.44547738693467,106.00904522613067,106.88881909547737,"Kevin Gausman",14107,592332
"Tyler Glasnow","LAD",2.44,0.26819923,0.07006369,0.2956778,17.993160247802734,,261,11,0,61.75952629384495,116.5155818540434,102.47386587771202,106.82899408284021,"Tyler Glasnow",14374,607192
"MacKenzie Gore","WSN",3.63,0.2,0.06993007,0.27167019,10.751906394958496,,225,10,0,82.608361943456,116.69830866807614,101.68298097251585,106.65295983086682,"MacKenzie Gore",22201,669022
"Yoshinobu Yamamoto","LAD",3.5,0.22727273,0.0952381,0.31892523,11.92257308959961,,220,10,0,73.79328935350648,100.36816037735846,105.28549528301886,106.5804245283019,"Yoshinobu Yamamoto",33825,808967
"Chris Paddack","MIN",4.11,0.16528926,0.09392265,0.26222222,6.069150447845459,,242,10,0,95.45126857461108,91.5979775280899,107.5402247191011,106.31337078651687,"Chris Paddack",20099,663978
"Alex Faedo","DET",3.47,0.12903226,0.06818182,0.30912863,,-0.29826536774635315,124,0,0,96.24806172283918,103.45320000000001,103.19899999999998,106.24800000000002,"Alex Faedo",19874,656412
"George Kirby","SEA",3.63,0.2,0.08465608,0.26282723,9.657705307006836,,255,11,0,89.91624432084106,104.24126679462573,105.79241842610364,106.07571976967371,"George Kirby",25436,669923
"Shota Imanaga","CHC",2.62,0.23444976,0.07042254,0.27458493,16.672183990478516,,209,9,0,79.55340246982502,95.52962112514352,105.9597014925373,105.94638346727893,"Shota Imanaga",33829,684007
"Yusei Kikuchi","TOR",2.68,0.20338983,0.07407407,0.29126214,16.497358322143555,,236,10,0,77.550112655457,109.02146709816613,103.11078748651562,105.82265372168287,"Yusei Kikuchi",20633,579328
"Brandon Pfaadt","ARI",3,0.1902834,0.04545455,0.27973568,13.051137924194336,,247,10,0,90.9071288928984,104.77362030905077,106.51490066225166,105.71379690949227,"Brandon Pfaadt",27782,694297
"Hunter Greene","CIN",2.56,0.17293233,0.03658537,0.26153846,16.859432220458984,,266,11,0,100.24430951841583,125.56123260437377,97.9207753479125,105.47683896620279,"Hunter Greene",22182,668881
"Zach Eflin","TBR",3.55,0.16260163,0.07614213,0.28485577,8.762598037719727,,246,10,0,94.21671031321203,94.3825565912117,109.61611185086551,105.12556591211718,"Zach Eflin",13774,621107
"Luke Weaver","NYY",3.7,0.22580645,0.06329114,0.27984344,,2.4926626682281494,124,0,0,86.64288916556279,118.83365949119374,100.18532289628179,104.98493150684932,"Luke Weaver",16918,596133
"Ryne Nelson","ARI",4.93,0.11042945,0.07258065,0.23981191,2.50341534614563,0.4643234610557556,163,7,0,104.70275796190943,101.96897547349077,104.68175104825082,104.96022478366491,"Ryne Nelson",26253,669194
"Kyle Muller","OAK",4.05,0.12230216,0.09345794,0.26008065,,-0.5114433765411377,139,0,0,102.80235646235809,87.47580645161287,103.80201612903227,104.81068548387096,"Kyle Muller",20167,666205
"Logan Webb","SFG",4.83,0.12727273,0.06930693,0.2729805,13.549131393432617,,275,11,0,81.87243152047151,110.5197026022305,101.92472118959107,104.59944237918216,"Logan Webb",17995,657277
"Brayan Bello","BOS",4.25,0.13714286,0.08064516,0.26896552,1.6354535818099976,,175,8,0,88.5731301941691,104.32479224376729,100.73351800554019,104.50941828254847,"Brayan Bello",23920,678394
"Joe Ryan","MIN",2.78,0.23206751,0.09202454,0.28509719,13.870938301086426,,237,10,0,79.02103039763965,93.953125,109.20948275862068,104.4377155172414,"Joe Ryan",21390,657746
"Kutter Crawford","BOS",3.47,0.15708812,0.06741573,0.26666667,15.911717414855957,,261,11,0,102.088654761656,105.84480874316938,102.95704918032787,104.3816393442623,"Kutter Crawford",20531,676710
"Jack Flaherty","DET",2.76,0.2962963,0.04666667,0.34571723,12.835695266723633,,243,10,0,49.961827993304716,97.76405063291142,104.44189873417719,104.34025316455694,"Jack Flaherty",17479,656427
"Cole Ragans","KCR",3.3,0.21568627,0.06369427,0.2979351,17.58970069885254,,255,11,0,75.74766268192401,110.26140350877193,100.14181286549712,104.33167641325538,"Cole Ragans",21846,666142
"Tyler Alexander","TBR",5.16,0.12389381,0.10650888,0.27455621,-0.8308600187301636,-3.2657852172851562,226,6,0,118.43905203270272,91.9751393425793,105.42996173445577,104.31848057790305,"Tyler Alexander",17735,641302
"Luis Castillo","SEA",3.7,0.18888889,0.08241758,0.27399814,10.282015800476074,,270,11,0,89.49726569929527,99.3642268041237,106.08329896907219,104.2855670103093,"Luis Castillo",15689,622491
"Keaton Winn","SFG",5.47,0.10169492,0.0952381,0.25816024,1.3061881065368652,,177,9,0,98.91049140355112,112.62109955423477,99.29895988112926,104.2696879643388,"Keaton Winn",23499,676775
"Aaron Nola","PHI",3.45,0.15957447,0.06091371,0.26522962,11.272928237915039,,282,11,0,88.61048941709917,97.49244306418223,106.32763975155282,104.24378881987579,"Aaron Nola",16149,605400
"Jameson Taillon","CHC",3.65,0.08536585,0.0546875,0.26086957,3.2524826526641846,,164,7,0,113.24545428334568,89.4441223832528,109.4927536231884,104.16425120772948,"Jameson Taillon",11674,592791
"Justin Verlander","HOU",3.78,0.1257485,0.10344828,0.25037936,2.0192513465881348,,167,7,0,121.03258679859039,121.7257966616085,101.77329286798178,104.02852807283762,"Justin Verlander",8700,434378
"Grayson Rodriguez","BAL",4,0.16145833,0.08403361,0.2815534,8.114656448364258,,192,8,0,101.80649186292865,117.58987517337029,99.25506241331483,104.02011095700416,"Grayson Rodriguez",24492,680570
"Ryan Pepiot","TBR",3.16,0.18238994,0.09183673,0.29750779,5.0254292488098145,,159,8,0,99.25413340751057,117.04688473520248,98.39018691588785,103.99875389408102,"Ryan Pepiot",26221,686752
"Garrett Crochet","CHW",2.18,0.26637555,0.05714286,0.29461457,13.757195472717285,,229,11,0,68.65285728989295,107.53460282916213,102.61795429815015,103.94700761697496,"Garrett Crochet",27463,676979
"Bryce Miller","SEA",4.17,0.17391304,0.13291139,0.2675737,2.1324946880340576,,230,10,0,95.14802796601222,111.5363945578231,102.39512471655327,103.86564625850338,"Bryce Miller",29837,682243
"Pablo López","MIN",3.14,0.23893805,0.08496732,0.2890625,9.217241287231445,,226,10,0,76.10144604389288,98.00223214285714,101.88504464285714,103.43749999999999,"Pablo Lopez",17085,641154
"Casey Mize","DET",4.28,0.12121212,0.07843137,0.23498695,5.685359001159668,,198,9,0,94.98532716022366,109.09330985915491,104.92605633802819,103.28978873239436,"Casey Mize",20492,663554
"Simeon Woods Richardson","MIN",3.73,0.13286713,0.08333333,0.22905983,7.114957332611084,,143,7,0,109.42458772374619,85.64691729323307,107.61578947368423,103.08225563909774,"Simeon Woods Richardson",24494,680573
"Bailey Ober","MIN",3.4,0.20192308,0.09352518,0.28113879,8.788010597229004,,208,10,0,98.5473916173881,89.86090584028605,106.51883194278899,102.94171632896305,"Bailey Ober",21224,641927
"Cristopher Sánchez","PHI",3.89,0.12711864,0.05952381,0.26530612,14.3732271194458,,236,10,0,80.12683905466086,96.84131668558456,99.3466515323496,102.9138479001135,"Cristopher Sanchez",20778,650911
