Name,Team,Barrel%,CSW%,Starting,Relieving,SO,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Porter Hodge","CHC",0,0.66666667,,0.5671711656355768,4,5,0,0,-68.8981863230596,96.47333333333333,126.68,130.06,"Porter Hodge",26413,687863
"Dillon Tate","BAL",0,0.59090909,,0.8838400718442778,4,7,0,0,5.561923897479097,109.0318181818182,118.61818181818184,125.84545454545454,"Dillon Tate",17796,622253
"Josh Hader","HOU",0.125,0.39759036,,3.826047938885765,10,19,0,2,23.42282667692653,133.444578313253,107.49277108433735,123.63012048192772,"Josh Hader",14212,623352
"Cade Smith","CLE",0.14285714,0.45,,2.7645631385172997,9,16,0,1,0.12740608497419897,120.36238095238096,120.27714285714286,122.56261904761905,"Cade Smith",27867,671922
"Orion Kerkering","PHI",0.05882353,0.2970297,,2.0055903070082777,7,26,0,0,60.28511570954528,128.7772277227723,116.43960396039604,122.24455445544555,"Orion Kerkering",31776,689147
"Emmanuel Clase","CLE",0,0.29357798,,1.941847442356139,6,26,0,5,71.51250004684394,144.6330275229358,110.74220183486237,121.56697247706421,"Emmanuel Clase",21032,661403
"Trevor Megill","MIL",0.11111111,0.37804878,,2.0615797820171347,10,19,0,4,13.82082041642617,158.53658536585365,102.40000000000002,121.11219512195123,"Trevor Megill",17722,656730
"Elvis Peguero","MIL",0.23076923,0.36231884,,1.569953670382388,5,19,0,0,79.80465152264695,146.6478260869565,114.42463768115942,120.26521739130433,"Elvis Peguero",21652,665625
"Ian Hamilton","NYY",0.09090909,0.32258065,,0.1622805956949543,5,16,0,0,55.47206442563141,123.69838709677418,124.25483870967744,119.44032258064514,"Ian Hamilton",19261,641656
"Ryne Stanek","SEA",0,0.31578947,,1.807484086550971,4,17,0,0,55.72679744663592,143.53157894736844,106.60877192982457,118.97368421052632,"Ryne Stanek",15947,592773
"Daniel Hudson","LAD",0.14285714,0.35087719,,1.580366004483715,5,12,0,1,43.900686827940035,110.4982456140351,116.05614035087719,118.90526315789472,"Daniel Hudson",7146,543339
"Hunter Gaddis","CLE",0,0.3373494,,2.7265657274560633,7,22,0,0,73.75039742876794,112,112.78192771084336,118.89277108433735,"Hunter Gaddis",25636,683769
"Cole Winn","TEX",0.08333333,0.26315789,,-0.8599120911963501,1,13,0,0,85.93595380692182,113.35000000000001,111.8,118.27368421052631,"Cole Winn",22113,668390
