"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Aaron Judge","NYY","696","62","16","86.1","207",".458","251","26.2%","2.1","4.0","200","113","84","95.8","118.4",".463","15640"
"Yordan Alvarez","HOU","561","37","1","52.9","185",".427","205","21.0%","-0.6","3.0","175","85","85","95.2","117.4",".462","19556"
"Paul Goldschmidt","STL","651","35","7","61.7","177",".419","168","11.5%","3.0","3.6","145","96","105","90.7","112.3",".367","9218"
"Mike Trout","LAA","499","40","1","42.4","176",".418","232","19.7%","-0.3","3.3","136","125","109","91.6","114.4",".395","10155"
"Jose Altuve","HOU","604","28","18","41.9","164",".397","156","7.7%","-1.5","5.0","137","65","66","85.9","109.8",".354","5417"
"Joey Meneses","WSN","240","13","1","12.8","156",".395","154","9.9%","-2.8","2.4","75","96","109","91.4","110.9",".332","14366"
"Freddie Freeman","LAD","708","21","13","52.6","157",".393","120","10.1%","5.4","4.8","142","64","122","91.3","112.3",".403","5361"
"Manny Machado","SDP","644","32","9","41.9","152",".382","151","9.8%","3.0","4.3","117","91","102","91.5","112.4",".338","11493"
"Nolan Arenado","STL","620","30","5","35.4","151",".381","155","8.2%","-1.6","2.6","100","51","80","88.7","111.4",".339","9777"
"Albert Pujols","STL","351","24","1","14.0","151",".380","181","12.0%","-6.6","1.4","95","69","71","91.2","111.7",".365","1177"
"Austin Riley","ATL","693","38","2","32.5","142",".377","165","15.7%","-1.7","3.0","98","107","98","92.5","115.9",".378","18360"
"Juan Soto","- - -","664","27","6","32.0","145",".376","135","12.4%","-2.4","3.5","243","64","97","91.0","113.2",".401","20123"
"Mookie Betts","LAD","639","35","12","37.3","144",".373","170","9.7%","4.3","6.0","103","72","85","90.5","109.0",".344","13611"
"Joc Pederson","SFG","433","23","3","22.6","144",".373","160","15.1%","0.4","4.0","116","102","103","93.1","112.8",".367","11899"
"Rafael Devers","BOS","614","27","3","26.8","141",".373","151","11.5%","-1.2","3.1","102","84","107","93.1","113.7",".361","17350"
"Trayce Thompson","- - -","255","13","4","15.8","142",".370","162","16.4%","3.2","4.9","150","161","64","92.3","111.9",".366","9952"
"William Contreras","ATL","376","20","2","14.0","138",".370","147","13.4%","-2.6","3.4","124","122","89","90.4","115.2",".347","20503"
"Eloy Jimenez","CHW","327","16","0","14.7","144",".370","138","14.7%","-1.4","1.0","108","99","90","92.8","113.4",".365","17484"
"Shohei Ohtani","LAA","666","34","11","31.8","142",".370","165","16.8%","0.3","4.7","136","109","112","92.9","119.1",".385","19755"
"Bryce Harper","PHI","426","18","11","18.1","138",".369","146","12.8%","-0.9","4.6","129","90","101","92.1","114.3",".380","11579"
"Nathaniel Lowe","TEX","645","27","2","27.3","143",".368","128","9.9%","-3.9","2.7","93","103","121","90.3","113.0",".344","19566"
"Michael Harris II","ATL","441","19","20","24.4","136",".368","140","10.1%","5.9","7.2","57","107","100","89.5","112.8",".335","25931"
"Julio Rodriguez","SEA","560","28","25","33.4","146",".366","151","13.1%","4.3","6.2","90","117","93","92.0","117.2",".337","23697"
"Yandy Diaz","TBR","558","9","3","23.9","146",".366","85","4.8%","-5.3","2.2","176","48","129","92.2","114.3",".365","16578"
"Pete Alonso","NYM","685","40","5","32.0","143",".366","159","12.3%","-2.5","2.9","117","83","98","89.8","116.5",".354","19251"
"Jeff McNeil","NYM","589","9","4","31.4","143",".365","82","2.7%","2.0","3.3","81","46","105","86.9","110.0",".323","15362"
"Jazz Chisholm Jr.","MIA","241","14","12","14.1","139",".365","182","16.6%","3.1","7.9","104","121","76","90.2","109.6",".345","20454"
"Vinnie Pasquantino","KCR","298","10","1","10.5","137",".365","104","8.8%","-2.1","1.5","148","51","87","91.2","112.7",".374","27676"
"Andres Gimenez","CLE","557","17","20","28.4","140",".364","113","6.2%","3.4","5.8","77","91","94","87.8","109.9",".326","19950"
"Danny Jansen","TOR","248","15","1","12.0","140",".364","171","13.1%","0.8","2.5","127","80","66","90.4","109.3",".368","16535"
"Xander Bogaerts","BOS","631","15","8","28.7","134",".363","100","6.5%","4.7","3.5","113","84","103","88.1","113.0",".323","12161"
"Jose Ramirez","CLE","685","29","20","36.0","139",".363","157","6.6%","6.0","5.3","127","54","84","87.7","114.2",".320","13510"
"Carlos Correa","MIN","590","22","0","20.7","140",".362","118","11.4%","-6.0","1.7","130","92","83","89.9","114.6",".363","14162"
"Taylor Ward","LAA","564","23","5","23.9","137",".362","129","12.1%","0.7","3.4","134","96","97","89.9","112.6",".361","17548"
"Jose Abreu","CHW","679","15","0","26.9","138",".361","95","9.5%","-1.7","1.4","115","73","104","92.2","113.0",".373","15676"
"Alex Bregman","HOU","656","23","1","23.7","136",".358","131","7.3%","-3.0","2.0","167","53","76","88.9","109.2",".350","17678"
"Willson Contreras","CHC","487","22","4","15.2","132",".357","144","10.5%","-2.8","4.2","111","94","97","90.4","116.2",".364","11609"
"Byron Buxton","MIN","382","28","6","19.6","136",".356","203","16.4%","4.3","6.5","112","137","68","92.9","113.5",".358","14161"
"Starling Marte","NYM","505","16","18","20.8","136",".355","114","6.8%","-0.2","6.5","62","85","97","86.8","113.3",".336","9241"
"Kyle Schwarber","PHI","669","46","10","21.3","128",".355","185","20.1%","-0.8","5.2","154","132","78","93.3","114.8",".375","16478"
"J.T. Realmuto","PHI","562","22","21","24.9","128",".354","131","11.3%","6.6","6.9","87","94","110","90.3","110.4",".351","11739"
"Adley Rutschman","BAL","470","13","4","22.5","133",".354","128","7.9%","5.0","4.2","174","82","82","87.9","110.9",".342","26288"
"Brandon Nimmo","NYM","673","16","3","26.6","134",".353","102","7.0%","-0.3","4.7","126","76","119","89.4","111.9",".342","12927"
"Anthony Rizzo","NYY","548","32","6","16.4","133",".352","171","10.9%","-3.6","3.7","133","83","90","89.4","113.3",".349","3473"
"George Springer","TOR","583","25","14","25.7","132",".352","137","8.3%","4.6","6.0","116","77","94","88.7","113.6",".342","12856"
"Jake Fraley","CIN","247","12","4","7.6","121",".352","134","7.3%","1.6","3.6","126","97","107","85.1","110.0",".333","19260"
"Vladimir Guerrero Jr.","TOR","706","32","8","19.3","132",".351","138","11.2%","-6.0","3.1","103","74","92","92.8","118.4",".348","19611"
"Trea Turner","LAD","708","21","27","29.6","128",".350","109","7.6%","6.5","6.4","76","82","89","88.9","112.5",".335","16252"
"Brandon Drury","- - -","568","28","2","11.5","123",".350","148","10.4%","-3.6","3.5","80","98","92","89.1","112.4",".316","11615"
"Luis Arraez","MIN","603","8","4","21.0","131",".350","70","3.6%","-0.2","3.0","104","32","123","88.9","107.3",".333","18568"
"Daniel Vogelbach","- - -","461","18","0","11.7","128",".349","125","10.6%","-3.3","1.5","190","109","97","89.4","110.9",".350","14130"
"Bryan Reynolds","PIT","614","27","7","16.0","125",".349","129","7.9%","-2.1","4.5","109","102","100","90.2","113.2",".329","19326"
"Brendan Donovan","STL","468","5","2","14.0","129",".349","63","3.4%","-1.9","2.9","153","66","123","87.7","107.0",".339","24679"
"Will Smith","LAD","578","24","1","14.9","127",".349","132","10.3%","-3.6","2.9","116","73","103","89.9","109.0",".352","19197"
"Teoscar Hernandez","TOR","535","25","6","15.0","129",".348","150","15.0%","-2.5","3.8","80","128","102","92.6","114.1",".351","13066"
"Kyle Tucker","HOU","609","30","25","23.9","129",".348","148","10.1%","4.0","4.9","122","70","91","90.0","111.3",".353","18345"
"Bo Bichette","TOR","697","24","13","20.1","129",".347","120","9.6%","-2.7","3.8","74","100","137","91.9","112.4",".334","19612"
