"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Aaron Judge","NYY","696","62","16","86.1","207",".458","251","26.2%","2.1","4.0","11.8%","50.0%","200","113","84","95.8","118.4",".463","60.9%","15640"
"Yordan Alvarez","HOU","561","37","1","52.9","185",".427","205","21.0%","-0.6","3.0","9.0%","39.4%","175","85","85","95.2","117.4",".462","59.8%","19556"
"Paul Goldschmidt","STL","651","35","7","61.7","177",".419","168","11.5%","3.0","3.6","9.9%","39.2%","145","96","105","90.7","112.3",".367","46.9%","9218"
"Mike Trout","LAA","499","40","1","42.4","176",".418","232","19.7%","-0.3","3.3","11.8%","46.7%","136","125","109","91.6","114.4",".395","50.3%","10155"
"Jose Altuve","HOU","604","28","18","41.9","164",".397","156","7.7%","-1.5","5.0","6.8%","30.0%","137","65","66","85.9","109.8",".354","29.5%","5417"
"Joey Meneses","WSN","240","13","1","12.8","156",".395","154","9.9%","-2.8","2.4","10.2%","33.3%","75","96","109","91.4","110.9",".332","47.1%","14366"
"Freddie Freeman","LAD","708","21","13","52.6","157",".393","120","10.1%","5.4","4.8","8.3%","29.2%","142","64","122","91.3","112.3",".403","48.0%","5361"
"Manny Machado","SDP","644","32","9","41.9","152",".382","151","9.8%","3.0","4.3","11.8%","35.4%","117","91","102","91.5","112.4",".338","49.0%","11493"
"Nolan Arenado","STL","620","30","5","35.4","151",".381","155","8.2%","-1.6","2.6","8.6%","24.8%","100","51","80","88.7","111.4",".339","38.9%","9777"
"Albert Pujols","STL","351","24","1","14.0","151",".380","181","12.0%","-6.6","1.4","9.2%","30.5%","95","69","71","91.2","111.7",".365","47.3%","1177"
"Austin Riley","ATL","693","38","2","32.5","142",".377","165","15.7%","-1.7","3.0","13.2%","38.0%","98","107","98","92.5","115.9",".378","50.8%","18360"
"Juan Soto","- - -","664","27","6","32.0","145",".376","135","12.4%","-2.4","3.5","6.0%","38.9%","243","64","97","91.0","113.2",".401","47.3%","20123"
"Mookie Betts","LAD","639","35","12","37.3","144",".373","170","9.7%","4.3","6.0","6.7%","30.4%","103","72","85","90.5","109.0",".344","44.7%","13611"
"Joc Pederson","SFG","433","23","3","22.6","144",".373","160","15.1%","0.4","4.0","10.1%","38.1%","116","102","103","93.1","112.8",".367","51.8%","11899"
"Rafael Devers","BOS","614","27","3","26.8","141",".373","151","11.5%","-1.2","3.1","14.2%","31.1%","102","84","107","93.1","113.7",".361","50.9%","17350"
"Trayce Thompson","- - -","255","13","4","15.8","142",".370","162","16.4%","3.2","4.9","14.6%","54.1%","150","161","64","92.3","111.9",".366","46.9%","9952"
"William Contreras","ATL","376","20","2","14.0","138",".370","147","13.4%","-2.6","3.4","14.0%","43.4%","124","122","89","90.4","115.2",".347","46.6%","20503"
"Eloy Jimenez","CHW","327","16","0","14.7","144",".370","138","14.7%","-1.4","1.0","14.3%","35.5%","108","99","90","92.8","113.4",".365","54.9%","17484"
"Shohei Ohtani","LAA","666","34","11","31.8","142",".370","165","16.8%","0.3","4.7","12.6%","40.1%","136","109","112","92.9","119.1",".385","49.8%","19755"
"Bryce Harper","PHI","426","18","11","18.1","138",".369","146","12.8%","-0.9","4.6","14.8%","35.4%","129","90","101","92.1","114.3",".380","47.9%","11579"
"Nathaniel Lowe","TEX","645","27","2","27.3","143",".368","128","9.9%","-3.9","2.7","11.1%","34.4%","93","103","121","90.3","113.0",".344","44.8%","19566"
"Michael Harris II","ATL","441","19","20","24.4","136",".368","140","10.1%","5.9","7.2","13.8%","33.3%","57","107","100","89.5","112.8",".335","45.1%","25931"
"Julio Rodriguez","SEA","560","28","25","33.4","146",".366","151","13.1%","4.3","6.2","14.4%","38.0%","90","117","93","92.0","117.2",".337","50.7%","23697"
"Yandy Diaz","TBR","558","9","3","23.9","146",".366","85","4.8%","-5.3","2.2","5.3%","26.3%","176","48","129","92.2","114.3",".365","48.6%","16578"
"Pete Alonso","NYM","685","40","5","32.0","143",".366","159","12.3%","-2.5","2.9","10.7%","34.3%","117","83","98","89.8","116.5",".354","44.6%","19251"
"Jeff McNeil","NYM","589","9","4","31.4","143",".365","82","2.7%","2.0","3.3","7.5%","18.7%","81","46","105","86.9","110.0",".323","30.2%","15362"
"Jazz Chisholm Jr.","MIA","241","14","12","14.1","139",".365","182","16.6%","3.1","7.9","13.7%","41.9%","104","121","76","90.2","109.6",".345","45.7%","20454"
"Vinnie Pasquantino","KCR","298","10","1","10.5","137",".365","104","8.8%","-2.1","1.5","6.6%","26.5%","148","51","87","91.2","112.7",".374","46.9%","27676"
"Andres Gimenez","CLE","557","17","20","28.4","140",".364","113","6.2%","3.4","5.8","13.0%","29.3%","77","91","94","87.8","109.9",".326","37.6%","19950"
