ranking,name,team
1,Justin Jefferson,MIN
2,Ja'Marr Chase,CIN
3,Tyreek Hill,MIA
4,Cooper Kupp,LAR
5,Travis Kelce,KC
6,Bijan Robinson,ATL
7,Nick Chubb,CLE
8,Christian McCaffrey,SF
9,Stefon Diggs,BUF
10,CeeDee Lamb,DAL
11,A.J. Brown,PHI
12,Garrett Wilson,NYJ
13,Amon-Ra St. Brown,DET
14,Davante Adams,LVQ
15,Austin Ekeler,LAC
16,Tony Pollard,DAL
17,Chris Olave,NO
18,Jaylen Waddle,MIA
19,DeVonta Smith,PHI
20,Patrick Mahomes,KC
21,Jalen Hurts,PHI
22,DK Metcalf,SEA
23,Mark Andrews,BAL
24,Saquon Barkley,NYG
25,Derrick Henry,TEN
26,Rhamondre Stevenson,NE
27,Josh Allen,BUF
28,Lamar Jackson,BAL
29,Josh Jacobs,LV
30,Jonathan Taylor,IND
31,Jahmyr Gibbs,DET
32,Breece Hall,NYJ
33,Amari Cooper,CLE
34,Christian Watson,GB
35,Tee Higgins,CIN
36,Terry McLaurin,WAS
37,Calvin Ridley,JAC
38,Keenan Allen,LAC
39,Chris Godwin,TB
40,Jerry Jeudy,DEN
41,Drake London,ATL
42,Deebo Samuel,SF
43,DeAndre Hopkins,TEN
44,DJ Moore,CHI
45,Najee Harris,PIT
46,Justin Fields,CHI
47,Mike Williams,LAC
48,Brandon Aiyuk,SF
49,Justin Herbert,LAC
50,Joe Burrow,CIN
51,Trevor Lawrence,JAC
52,Travis Etienne,JAC
53,Joe Mixon,CIN
54,Aaron Jones,GB
55,Alexander Mattison,MIN
56,Kenneth Walker,SEA
57,Miles Sanders,CAR
58,Cam Akers,LAR
59,Dameon Pierce,HOU
60,T.J. Hockenson,MIN
61,Christian Kirk,JAC
62,Jordan Addison,MIN
63,George Kittle,SF
64,Kyle Pitts,ATL
65,Rachaad White,TB
66,Diontae Johnson,PIT
67,Gabe Davis,BUF
68,Michael Pittman,IND
69,Tyler Lockett,
70,Marquise Brown,
71,Mike Evans,TB
72,Rashod Bateman,BAL
73,Jaxon Smith-Njigba,SEA
74,Quentin Johnston,LAC
75,Elijah Moore,
76,Isiah Pacheco,KC
77,James Conner,ARI
78,Deshaun Watson,CLE
79,Darren Waller,NYG
80,Dallas Goedert,PHI
81,David Montgomery,DET
82,J.K. Dobbins,
83,D'Andre Swift,PHI
84,Dalvin Cook,FA
85,Treylon Burks,TEN
86,Brandin Cooks,DAL
87,Jahan Dotson,WAS
88,George Pickens,PIT
89,Evan Engram,JAC
90,Alvin Kamara,
91,Javonte Williams,
92,James Cook,BUF
93,Antonio Gibson,WAS
94,Anthony Richardson,IND
95,Dak Prescott,DAL
96,Daniel Jones,NYG
97,Tua Tagovailoa,MIA
98,Skyy Moore,KC
99,Zay Flowers,BAL
100,Rashaad Penny,PHI
101,AJ Dillon,GB
102,Zach Charbonnet,SEA
103,Samaje Perine,DEN
104,Michael Thomas,NO
105,Courtland Sutton,DEN
106,Odell Beckham,BAL
107,Nico Collins,HOU
108,Tyler Boyd,CIN
109,Kadarius Toney,KCQ
110,Brian Robinson,WAS
111,David Njoku,CLE
112,Pat Freiermuth,PIT
113,Geno Smith,SEA
114,Kirk Cousins,MIN
115,Russell Wilson,DEN
116,Jared Goff,DET
117,Aaron Rodgers,NYJ
118,Jamaal Williams,NO
119,Khalil Herbert,CHI
120,Jerick McKinnon,KC
121,Jakobi Meyers,LV
122,JuJu Smith-Schuster,NE
123,Zay Jones,JAC
124,Romeo Doubs,GB
125,Allen Lazard,NYJ
126,Chigoziem Okonkwo,TEN
127,Greg Dulcich,DEN
128,Dalton Schultz,HOU
129,Dalton Kincaid,BUF
130,Jaylen Warren,PIT
131,Elijah Mitchell,SFQ
132,Tank Bigsby,JAC
133,Jonathan Mingo,CAR
134,Alec Pierce,IND
135,Michael Gallup,DAL
136,Rondale Moore,ARI
137,Darnell Mooney,CHI
138,Adam Thielen,CAR
139,Rashee Rice,KC
140,Rashid Shaheed,NOQ
141,Jayden Reed,GB
142,K.J. Osborn,MIN
143,Van Jefferson,LAR
144,Tyler Allgeier,ATL
145,Kendre Miller,NO
146,Matthew Stafford,LAR
147,Derek Carr,NO
148,Jordan Love,GB
149,Roschon Johnson,CHI
150,Devin Singletary,HOU
151,DJ Chark,CAR
152,Donovan Peoples-Jones,CLE
153,Cole Kmet,CHI
154,Gerald Everett,LAC
155,Sam LaPorta,DET
156,Juwan Johnson,NO
157,Tyler Higbee,LAR
158,Irv Smith,CIN
159,Mike Gesicki,NE
160,Brock Purdy,SF
161,Marvin Mims,DEN
162,John Metchie,HOU
163,Marquez Valdes-Scantling,KC
164,Isaiah Hodgins,NYG
165,Kenneth Gainwell,PHI
166,Raheem Mostert,MIA
167,Tyjae Spears,TEN
168,Kenny Pickett,PIT
169,Bryce Young,CAR
170,C.J. Stroud,HOU
171,Gus Edwards,BAL
172,Parris Campbell,NYG
173,Jalin Hyatt,NYG
174,Curtis Samuel,WAS
175,Hunter Renfrow,LV
176,Khalil Shakir,BUF
177,Tyquan Thornton,NE
178,Luke Musgrave,GB
179,Taysom Hill,NO
180,Dawson Knox,BUF
181,DeVante Parker,NE
182,Richie James,KC
183,Chase Brown,CIN
184,Leonard Fournette,FA
185,Chuba Hubbard,CAR
186,Clyde Edwards-Helaire,KC
187,Ty Chandler,MIN
188,Pierre Strong,NE
189,Ezekiel Elliott,FA
190,D'Onta Foreman,CHI
191,Zamir White,LV
192,Sam Howell,WAS
193,Ryan Tannehill,TEN
194,Robert Woods,HOU
195,Darius Slayton,NYG
196,Terrace Marshall,CAR
197,Corey Davis,NYJ
198,Mecole Hardman,NYJ
199,Quez Watkins,PHI
200,Greg Dortch,ARI
201,Justyn Ross,KC
202,Mack Hollins,ATL
203,Marquez Callaway,DEN
204,Michael Wilson,ARI
205,Josh Downs,IND
206,Desmond Ridder,ATL
207,Mac Jones,NE
208,Baker Mayfield,TB
209,Jimmy Garoppolo,LV
210,Tyler Conklin,NYJ
211,Michael Mayer,LV
212,Jake Ferguson,DAL
213,Hayden Hurst,CAR
214,Isaiah Likely,BAL
215,Cade Otton,TB
216,Trey McBride,ARI
217,Mike White,MIA
218,Jarrett Stidham,DEN
219,Trey Lance,SF
220,DeWayne McBride,MIN
221,Israel Abanikanda,NYJ
222,Zonovan Knight,NYJ
223,Kyren Williams,LAR
224,Zach Evans,LAR
225,Malik Davis,DAL
226,Kareem Hunt,FA
227,Marvin Jones,DET
228,Allen Robinson,PIT
229,Cedric Tillman,CLE
230,Puka Nacua,LAR
231,Tutu Atwell,LAR
232,Trent Sherfield,BUF
233,Hunter Henry,NE
234,Noah Fant,SEA
235,Noah Gray,KC
236,Deonte Harty,BUF
237,Russell Gage,TB
238,Michael Carter,NYJ
239,Cordarrelle Patterson,ATL
240,Joshua Kelley,LAC
241,Eric Gray,NYG
242,Raheem Blackshear,CAR
243,Randall Cobb,NYJ
244,Kayshon Boutte,NE
245,Tyler Scott,CHI
246,Nelson Agholor,BAL
247,A.T. Perry,NO
248,Will Levis,TEN
249,Latavius Murray,BUF
250,James Robinson,NYG
251,Deuce Vaughn,DAL
252,Trey Sermon,PHI
253,JaMycal Hasty,JAC
254,Isaiah Spiller,LAC
255,Kevin Harris,NE
256,Olamide Zaccheaus,PHI
257,Nick Westbrook-Ikhine,TEN
258,Jalen Reagor,MIN
259,Charlie Jones,CIN
260,Malik Henry,FA
261,Dyami Brown,WAS
262,Antonio Brown,FA
263,Kalif Raymond,DET
264,Kyle Philips,TEN
265,Darnell Washington,PIT
266,Austin Hooper,LV
267,Daniel Bellinger,NYG
268,C.J. Uzomah,NYJ
269,Tucker Kraft,GB
270,Adam Trautman,DEN
271,Will Dissly,SEA
272,Donald Parham,LAC
273,Jody Fortson,KCQ
274,Peyton Hendershot,DAL
275,Albert Okwuegbunam,DEN
276,Jordan Akins,CLE
277,Sam Darnold,SF
278,Jacoby Brissett,WAS
279,Taylor Heinicke,ATL
280,Gardner Minshew,IND
