School,Conference,Attendance
Kentucky,SEC,19678
North Carolina,ACC,19194
Tennessee,SEC,19112
Arkansas,SEC,18716
BYU,BIG 12,18074
Syracuse,ACC,17226
Creighton,BIG EAST,16648
NC State,ACC,15725
Indiana,BIG TEN,15368
Louisville,ACC,15338
Kansas,BIG 12,15308
Wisconsin,BIG TEN,15015
Purdue,BIG TEN,14876
Illinois,BIG TEN,14836
Michigan State,BIG TEN,14797
Nebraska,BIG TEN,14572
Marquette,BIG EAST,14357
Arizona,BIG 12,14213
Iowa State,BIG 12,14005
Dayton,TOP 10 OTHERS,13407
Alabama,SEC,13219
Texas Tech,BIG 12,12934
Connecticut,BIG EAST,12873
Maryland,BIG TEN,12745
New Mexico,MWC,12597
Virginia,ACC,12561
Michigan,BIG TEN,12520
St. John's,BIG EAST,12086
San Diego State,MWC,11371
Iowa,BIG TEN,11147
West Virginia,BIG 12,10920
South Carolina,SEC,10815
Texas,SEC,10761
Ohio State,BIG TEN,10568
Florida,SEC,10434
Providence,BIG EAST,10275
Missouri,SEC,10029
Boise State,MWC,9847
Cincinnati,BIG 12,9708
Xavier,BIG EAST,9677
Memphis,TOP 10 OTHERS,9639
Utah State,MWC,9535
Duke,ACC,9314
Auburn,SEC,9121
Vanderbilt,SEC,8836
Minnesota,BIG TEN,8549
Georgia,SEC,8481
Nevada,MWC,8201
Mississippi,SEC,8118
Rutgers,BIG TEN,8000
Texas A&M,SEC,7955
Kansas State,BIG 12,7948
Arizona State,BIG 12,7727
Mississippi State,SEC,7693
VCU,TOP 10 OTHERS,7609
Clemson,ACC,7399
Utah,BIG 12,7216
LSU,SEC,7150
Villanova,BIG EAST,7147
Butler,BIG EAST,7133
Wake Forest,ACC,7107
Grand Canyon,MWC,7091
Houston,BIG 12,7035
Washington,BIG TEN,6979
Baylor,BIG 12,6881
Seton Hall,BIG EAST,6698
UCF,BIG 12,6614
Gonzaga,TOP 10 OTHERS,6391
Saint Louis,TOP 10 OTHERS,6333
Virginia Tech,ACC,6282
UCLA,BIG TEN,6262
Oklahoma,SEC,6220
Oklahoma State,BIG 12,6151
Georgetown,BIG EAST,6027
Oregon,BIG TEN,6015
Colorado,BIG 12,5996
Pittsburgh,ACC,5741
Wichita State,TOP 10 OTHERS,5738
Penn State,BIG TEN,5699
Colorado State,MWC,5471
Georgia Tech,ACC,5427
Florida State,ACC,5393
Northwestern,BIG TEN,5360
Bradley,TOP 10 OTHERS,5342
TCU,BIG 12,5252
Murray State,TOP 10 OTHERS,5228
UNLV,MWC,5173
SMU,ACC,5144
Old Dominion,TOP 10 OTHERS,5131
Notre Dame,ACC,5051
UNC Wilmington,TOP 10 OTHERS,5051
USC,BIG TEN,4975
Miami,ACC,4909
Fresno State,MWC,4521
DePaul,BIG EAST,4386
California,ACC,4189
Boston College,ACC,4148
Stanford,ACC,3870
Wyoming,MWC,3722
San Jose State,MWC,2128
Air Force,MWC,1368
