,Rank,Player,Team_x,Positions,Yahoo,AVG,Key,Name_x,G,GS,IP,SV,xFIP-,SwStr%,F-Strike%,Barrel%_x,HardHit%,CSW%,K%+_x,BB%+_x,xERA,EV_x,ER,playerid_x,STUFFplus,LOCATIONplus,PITCHINGplus,Total Z-Score_x,Total Z-Score_y,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%_y,BsR,Spd,BB%+_y,K%+_y,Oppo%+,EV_y,maxEV,xwOBA
0,1.0,Aaron Judge,NYY,CFRFDH,3.0,18,AarJud,,,,,,,,,,,,,,,,,,,,,,45.17,696.0,62.0,16.0,86.1,207.0,0.458,251.0,262,2.1,4.0,200.0,113.0,84.0,95.8,118.4,0.463
1,2.0,Trea Turner,PHI,SS,2.0,26,TreTur,,,,,,,,,,,,,,,,,,,,,,13.16,708.0,21.0,27.0,29.5,128.0,0.35,109.0,76,6.5,6.4,76.0,82.0,89.0,88.9,112.5,0.335
2,3.0,Ronald Acuna ,ATL,RFDH,1.0,28,RonAcu,,,,,,,,,,,,,,,,,,,,,,14.06,533.0,15.0,29.0,13.6,114.0,0.335,95.0,128,4.8,4.9,119.0,105.0,83.0,91.2,116.6,0.366
3,4.0,Jose Ramirez,CLE,3BDH,4.0,32,JosRam,,,,,,,,,,,,,,,,,,,,,,14.2,685.0,29.0,20.0,36.0,139.0,0.363,157.0,66,6.0,5.3,127.0,54.0,84.0,87.7,114.2,0.32
4,5.0,Julio Rodriguez,SEA,CF,5.0,50,JulRod,,,,,,,,,,,,,,,,,,,,,,20.77,560.0,28.0,25.0,33.4,146.0,0.366,151.0,131,4.3,6.2,90.0,117.0,93.0,92.0,117.2,0.337
5,6.0,Juan Soto,SD,RF,9.0,74,JuaSot,,,,,,,,,,,,,,,,,,,,,,17.15,664.0,27.0,6.0,32.0,145.0,0.376,135.0,124,-2.4,3.5,243.0,64.0,97.0,91.0,113.2,0.401
6,7.0,Kyle Tucker,HOU,RF,6.0,74,KylTuc,,,,,,,,,,,,,,,,,,,,,,14.44,609.0,30.0,25.0,23.9,129.0,0.348,148.0,101,4.0,4.9,122.0,70.0,91.0,90.0,111.3,0.353
7,8.0,Shohei Ohtani,LAA,SPDH,52.0,100,ShoOht,Shohei Ohtani,28.0,28.0,166.0,0.0,67.0,149,606,63,332,316,149.0,83.0,2.68,87.1,43.0,19755.0,125.7,97.9,107.5,21.12,23.77,666.0,34.0,11.0,31.8,142.0,0.37,165.0,168,0.3,4.7,136.0,109.0,112.0,92.9,119.1,0.385
8,9.0,Mookie Betts,LAD,2BRF,7.0,102,MooBet,,,,,,,,,,,,,,,,,,,,,,15.17,639.0,35.0,12.0,37.2,144.0,0.373,170.0,97,4.3,6.0,103.0,72.0,85.0,90.5,109.0,0.344
9,10.0,Yordan Alvarez,HOU,LFDH,12.0,112,YorAlv,,,,,,,,,,,,,,,,,,,,,,28.93,561.0,37.0,1.0,52.8,185.0,0.427,205.0,210,-0.6,3.0,175.0,85.0,85.0,95.2,117.4,0.462
10,11.0,Freddie Freeman,LAD,1B,11.0,112,FreFre,,,,,,,,,,,,,,,,,,,,,,20.9,708.0,21.0,13.0,52.6,157.0,0.393,120.0,101,5.4,4.8,142.0,64.0,122.0,91.3,112.3,0.403
11,12.0,Vladimir Guerrero ,TOR,1BDH,8.0,114,VlaGue,,,,,,,,,,,,,,,,,,,,,,11.74,706.0,32.0,8.0,19.2,132.0,0.351,138.0,112,-6.0,3.1,103.0,74.0,92.0,92.8,118.4,0.348
12,13.0,Corbin Burnes,MIL,SP,13.0,118,CorBur,Corbin Burnes,33.0,33.0,202.0,0.0,72.0,151,580,57,341,321,135.0,77.0,3.05,87.2,66.0,19361.0,126.2,101.9,109.2,17.97,,,,,,,,,,,,,,,,,
13,14.0,Manny Machado,SD,3B,15.0,130,ManMac,,,,,,,,,,,,,,,,,,,,,,16.94,644.0,32.0,9.0,41.9,152.0,0.382,151.0,98,3.0,4.3,117.0,91.0,102.0,91.5,112.4,0.338
14,15.0,Bobby Witt ,KC,3BSS,16.0,158,BobWit,,,,,,,,,,,,,,,,,,,,,,11.21,632.0,20.0,30.0,6.3,99.0,0.311,117.0,87,6.8,7.2,60.0,96.0,103.0,89.7,113.7,0.313
15,16.0,Gerrit Cole,NYY,SP,14.0,170,GerCol,Gerrit Cole,33.0,33.0,200.2,0.0,70.0,143,613,95,399,319,146.0,79.0,3.31,89.4,78.0,13125.0,128.7,102.1,110.4,18.43,,,,,,,,,,,,,,,,,
16,17.0,Bo Bichette,TOR,SS,18.0,186,BoBic,,,,,,,,,,,,,,,,,,,,,,11.74,697.0,24.0,13.0,20.0,129.0,0.347,120.0,96,-2.7,3.8,74.0,100.0,137.0,91.9,112.4,0.334
17,18.0,Pete Alonso,NYM,1BDH,21.0,192,PetAlo,,,,,,,,,,,,,,,,,,,,,,14.87,685.0,40.0,5.0,32.0,143.0,0.366,159.0,123,-2.5,2.9,117.0,83.0,98.0,89.8,116.5,0.354
18,19.0,Fernando Tatis ,SD,SS,22.0,198,FerTat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20.0,Mike Trout,LAA,CF,17.0,204,MikTro,,,,,,,,,,,,,,,,,,,,,,25.31,499.0,40.0,1.0,42.4,176.0,0.418,232.0,197,-0.3,3.3,136.0,125.0,109.0,91.6,114.4,0.395
20,21.0,Paul Goldschmidt,STL,1BDH,19.0,210,PauGol,,,,,,,,,,,,,,,,,,,,,,22.49,651.0,35.0,7.0,61.6,177.0,0.419,168.0,115,3.0,3.6,145.0,96.0,105.0,90.7,112.3,0.367
21,22.0,Rafael Devers,BOS,3B,20.0,218,RafDev,,,,,,,,,,,,,,,,,,,,,,13.42,614.0,27.0,3.0,26.8,140.0,0.373,151.0,115,-1.2,3.1,102.0,84.0,107.0,93.1,113.7,0.361
22,23.0,Austin Riley,ATL,3B,33.0,226,AusRil,,,,,,,,,,,,,,,,,,,,,,17.98,693.0,38.0,2.0,32.5,142.0,0.377,165.0,157,-1.7,3.0,98.0,107.0,98.0,92.5,115.9,0.378
23,24.0,Sandy Alcantara,MIA,SP,23.0,232,SanAlc,Sandy Alcantara,32.0,32.0,228.2,0.0,83.0,122,624,52,385,275,103.0,68.0,2.92,87.8,58.0,18684.0,120.4,105.3,107.4,14.84,,,,,,,,,,,,,,,,,
24,25.0,Jacob deGrom,TEX,SP,24.0,292,JacdeG,Jacob deGrom,11.0,11.0,64.1,0.0,39.0,211,699,93,318,354,189.0,40.0,2.24,89.3,22.0,10954.0,139.5,106.8,115.9,13.06,,,,,,,,,,,,,,,,,
25,26.0,Marcus Semien,TEX,2BSS,29.0,292,MarSem,,,,,,,,,,,,,,,,,,,,,,8.75,724.0,26.0,25.0,12.5,107.0,0.317,121.0,68,7.0,6.2,92.0,75.0,91.0,87.3,110.1,0.306
26,27.0,Michael Harris ,ATL,CF,26.0,294,MicHar,,,,,,,,,,,,,,,,,,,,,,13.67,441.0,19.0,20.0,24.4,136.0,0.368,140.0,101,5.9,7.2,57.0,107.0,100.0,89.5,112.8,0.335
27,28.0,Jose Altuve,HOU,2B,25.0,312,JosAlt,,,,,,,,,,,,,,,,,,,,,,11.42,604.0,28.0,18.0,41.8,164.0,0.397,156.0,77,-1.5,5.0,137.0,65.0,66.0,85.9,109.8,0.354
28,29.0,Nolan Arenado,STL,3B,35.0,314,NolAre,,,,,,,,,,,,,,,,,,,,,,7.86,620.0,30.0,5.0,35.3,151.0,0.381,155.0,82,-1.6,2.6,100.0,51.0,80.0,88.7,111.4,0.339
29,30.0,Francisco Lindor,NYM,SS,37.0,322,FraLin,,,,,,,,,,,,,,,,,,,,,,11.15,706.0,26.0,16.0,25.4,127.0,0.342,116.0,83,3.3,5.6,100.0,83.0,98.0,89.3,110.7,0.331
30,31.0,Spencer Strider,ATL,SPRP,27.0,332,SpeStr,Spencer Strider,31.0,20.0,131.2,0.0,58.0,155,602,61,360,311,169.0,103.0,2.39,88.0,39.0,27498.0,134.3,102.2,111.1,16.8,,,,,,,,,,,,,,,,,
31,32.0,Aaron Nola,PHI,SP,32.0,344,AarNol,Aaron Nola,32.0,32.0,205.0,0.0,70.0,126,701,71,316,324,129.0,43.0,2.74,87.7,74.0,16149.0,107.3,108.9,108.5,11.25,,,,,,,,,,,,,,,,,
32,33.0,Edwin Diaz,NYM,RP,28.0,354,EdwDia,Edwin Diaz,61.0,0.0,62.0,32.0,27.0,247,711,41,381,421,222.0,92.0,1.69,85.5,9.0,14710.0,140.2,100.1,111.2,36.17,,,,,,,,,,,,,,,,,
33,34.0,JT Realmuto,PHI,C,45.0,356,JTRea,,,,,,,,,,,,,,,,,,,,,,15.41,562.0,22.0,21.0,24.9,128.0,0.354,131.0,113,6.6,6.9,87.0,94.0,110.0,90.3,110.4,0.351
34,35.0,Shane McClanahan,TB,SP,36.0,360,ShaMcC,Shane McClanahan,28.0,28.0,166.1,0.0,65.0,155,627,64,325,328,136.0,74.0,2.79,87.6,47.0,21483.0,111.9,103.2,107.4,17.54,,,,,,,,,,,,,,,,,
