"Name","Team","G","GS","IP","SV","xFIP-","SwStr%","F-Strike%","Barrel%","HardHit%","CSW%","K%+","BB%+","xERA","EV","ER","playerid"
"J.P. Feyereisen","TBR","22","2","24.1","1","90","16.3%","65.1%","7.1%","39.3%","29.9%","131","72","2.43","89.4","0","16610"
"Tyler Kinley","COL","25","0","24.0","0","79","16.7%","57.0%","1.5%","42.4%","29.4%","119","72","2.57","88.7","2","18297"
"Hunter Brown","HOU","7","2","20.1","0","70","10.0%","63.8%","5.9%","47.1%","31.4%","124","109","2.96","93.2","2","25880"
"Yency Almonte","LAD","33","0","35.1","1","92","14.2%","60.7%","4.5%","25.0%","33.3%","108","89","3.01","83.4","4","15068"
"Jose Cisnero","DET","28","0","25.0","0","130","11.9%","53.3%","0.0%","27.4%","27.4%","99","225","3.91","85.7","3","6399"
"Pete Fairbanks","TBR","24","0","24.0","8","27","17.0%","65.5%","2.2%","26.1%","34.4%","197","43","1.03","87.3","3","17998"
"Evan Phillips","LAD","64","0","63.0","2","69","12.2%","67.4%","4.3%","31.2%","32.7%","146","78","2.18","86.1","8","17734"
"Ryne Stanek","HOU","59","0","54.2","1","100","15.5%","59.8%","3.8%","41.2%","28.8%","125","172","3.19","88.9","7","15947"
"Ryan Helsley","STL","54","0","64.2","19","66","18.4%","63.2%","8.8%","39.2%","32.7%","174","101","2.04","88.8","9","18138"
"Edwin Diaz","NYM","61","0","62.0","32","27","24.7%","71.1%","4.1%","38.1%","42.1%","222","92","1.69","85.5","9","14710"
"Emmanuel Clase","CLE","77","0","72.2","42","55","16.7%","64.6%","2.2%","32.2%","30.4%","128","46","1.97","86.3","11","21032"
"Cionel Perez","BAL","66","0","57.2","1","90","11.4%","61.5%","6.4%","38.9%","27.9%","106","112","3.62","89.1","9","19614"
"Drey Jameson","ARI","4","4","24.1","0","75","11.4%","58.2%","7.6%","48.5%","27.6%","108","86","4.49","88.9","4","26260"
"Anthony Bass","- - -","73","0","70.1","0","84","14.5%","66.5%","6.0%","33.5%","32.2%","118","89","3.03","87.6","12","7982"
"Jason Adam","TBR","67","0","63.1","8","80","17.9%","64.1%","5.0%","27.3%","35.2%","142","89","2.09","85.2","11","11861"
"Erik Swanson","SEA","57","1","53.2","3","68","15.3%","65.0%","6.4%","30.4%","30.2%","153","60","2.30","85.0","10","16587"
"Justin Verlander","HOU","28","28","175.0","0","82","11.6%","62.0%","6.3%","34.8%","26.5%","125","54","2.66","87.8","34","8700"
"Daniel Bard","COL","57","0","60.1","34","83","11.3%","59.2%","4.7%","37.8%","30.6%","125","123","2.49","87.7","12","7115"
"Caleb Ferguson","LAD","37","1","34.2","0","97","11.4%","56.3%","3.5%","30.2%","29.3%","115","144","3.05","84.8","7","19349"
"Alexis Diaz","CIN","59","0","63.2","10","99","16.5%","60.4%","7.5%","32.8%","30.6%","144","156","2.76","86.7","13","21132"
"Jhoan Duran","MIN","57","0","67.2","8","53","18.1%","63.5%","4.5%","35.0%","32.6%","151","75","2.22","88.2","14","21029"
"Devin Williams","MIL","65","0","60.2","15","60","18.4%","57.9%","0.9%","27.0%","33.9%","177","151","2.04","84.3","13","15816"
"Bryan Abreu","HOU","55","0","60.1","2","68","17.6%","56.5%","3.8%","32.3%","30.5%","160","131","2.96","86.6","13","16609"
"Matt Moore","TEX","63","0","74.0","5","98","14.8%","59.2%","4.4%","31.3%","29.3%","123","156","2.83","87.7","16","1890"
"Brock Burke","TEX","52","0","82.1","0","88","11.1%","60.1%","7.1%","39.2%","28.2%","124","91","3.31","88.6","18","17968"
"Ron Marinaccio","NYY","40","0","44.0","0","103","13.9%","58.6%","5.3%","25.3%","31.4%","139","165","2.70","84.5","10","23488"
"Adam Ottavino","NYM","66","0","65.2","3","70","12.6%","60.5%","3.2%","29.7%","32.8%","135","75","2.35","84.8","15","1247"
"A.J. Minter","ATL","75","0","70.0","5","68","15.7%","66.1%","8.8%","34.0%","31.0%","153","67","2.39","88.3","16","18655"
"James Karinchak","CLE","38","0","39.0","3","78","12.5%","55.0%","5.3%","40.8%","32.8%","174","164","2.92","91.0","9","20151"
"Zack Thompson","STL","22","1","34.2","1","99","7.5%","58.8%","6.3%","37.9%","26.1%","88","124","3.72","87.0","8","25918"
"Seth Martinez","HOU","29","0","38.2","0","99","11.0%","67.1%","5.9%","32.4%","28.9%","110","113","2.76","86.6","9","21045"
"Jordan Romano","TOR","63","0","64.0","36","87","14.7%","69.0%","6.9%","45.6%","30.6%","127","101","3.31","90.3","15","16122"
"Dylan Lee","ATL","46","0","50.2","0","78","19.0%","60.7%","5.3%","37.9%","31.6%","130","60","2.57","88.6","12","19996"
"Tony Gonsolin","LAD","24","24","130.1","0","93","12.3%","63.3%","5.6%","34.4%","28.7%","106","85","3.12","89.0","31","19388"
"Alex Vesia","LAD","63","0","54.1","1","76","14.8%","60.4%","6.6%","34.4%","30.6%","154","128","2.79","87.0","13","25007"
"Julio Urias","LAD","31","31","175.0","0","95","11.1%","66.6%","6.7%","30.2%","28.2%","107","72","2.81","86.7","42","14765"
"Jesus Tinoco","TEX","17","2","20.2","0","121","10.6%","58.3%","5.5%","38.2%","29.1%","96","148","3.51","87.8","5","16300"
"Scott Barlow","KCR","69","0","74.1","24","87","14.4%","61.0%","6.9%","29.8%","33.2%","120","95","2.96","86.4","18","14993"
"Hayden Wesneski","CHC","6","4","33.0","0","91","11.7%","62.9%","4.5%","25.8%","27.2%","111","64","2.18","84.5","8","27581"
"Kyle Nelson","ARI","43","1","37.0","0","110","11.3%","57.6%","7.7%","38.5%","26.0%","88","112","4.02","88.5","9","20515"
"Felix Bautista","BAL","65","0","65.2","15","70","15.1%","60.5%","8.5%","36.2%","30.2%","157","113","2.66","86.8","16","20666"
