,Rank,Player,Sleeper Count,Overrated Count,Experts
0,1,Aaron Judge,,,
1,2,Trea Turner,,,
2,3,Ronald Acuna ,2,,"Salfino, Sarris"
3,4,Jose Ramirez,,1,Salfino
4,5,Julio Rodriguez,1,,Laghezza
5,6,Juan Soto,1,,Sarris
6,7,Kyle Tucker,,,
7,8,Shohei Ohtani,,,
8,9,Mookie Betts,,,
9,10,Yordan Alvarez,,,
10,11,Freddie Freeman,,,
11,12,Vladimir Guerrero ,,,
12,13,Corbin Burnes,,,
13,14,Manny Machado,,,
14,15,Bobby Witt ,,,
15,16,Gerrit Cole,,,
16,17,Bo Bichette,,,
17,18,Pete Alonso,,,
18,19,Fernando Tatis ,,,
19,20,Mike Trout,,,
20,21,Paul Goldschmidt,,1,Salfino
21,22,Rafael Devers,,,
22,23,Austin Riley,1,,Laghezza
23,24,Sandy Alcantara,,,
24,25,Jacob deGrom,,,
25,26,Marcus Semien,,,
26,27,Michael Harris ,1,,Laghezza
27,28,Jose Altuve,,1,Salfino
28,29,Nolan Arenado,,,
29,30,Francisco Lindor,,,
30,31,Spencer Strider,,,
31,32,Aaron Nola,,,
32,33,Edwin Diaz,1,,Sarris
33,34,JT Realmuto,,,
34,35,Shane McClanahan,,,
35,36,Justin Verlander,,,
36,37,Emmanuel Clase,1,,Sarris
37,38,Randy Arozarena,,,
38,39,Brandon Woodruff,,,
39,40,Max Scherzer,,,
40,41,Matt Olson,,,
41,42,Kyle Schwarber,,,
42,43,Dylan Cease,,,
43,44,Carlos Rodon,,,
44,45,Luis Robert,,,
45,46,Cedric Mullins ,,,
46,47,Jazz Chisholm ,,,
47,48,Ozzie Albies,,,
48,49,Shane Bieber,,,
49,50,Alek Manoah,,,
50,51,Julio Urias,,,
51,52,Josh Hader,,,
52,53,Zack Wheeler,,,
53,54,Daulton Varsho,,,
54,55,Corey Seager,1,,Salfino
55,56,Will Smith,,,
56,57,Devin Williams,,,
57,58,Max Fried,,,
58,59,Adolis Garcia,,,
59,60,Luis Castillo,,,
60,60,Luis Castillo,,,
61,61,George Springer,,,
62,62,Adley Rutschman,,,
63,63,Kevin Gausman,,,
64,64,Yu Darvish,,,
65,65,Teoscar Hernandez,,,
66,66,Cristian Javier,,,
67,67,Alex Bregman,,,
68,68,Jordan Romano,1,,Sarris
69,69,Starling Marte,,,
70,70,Zac Gallen,,,
71,71,Eloy Jimenez,,,
72,72,Ryan Pressly,1,,Sarris
73,73,Oneil Cruz,,,
74,74,Salvador Perez,,,
75,75,Framber Valdez,,,
76,76,Dansby Swanson,,,
77,77,Xander Bogaerts,,1,
78,78,Joe Musgrove,,,
79,79,Jose Abreu,,,
80,80,Raisel Iglesias,,,
81,81,Tommy Edman,,,
82,82,Bryan Reynolds,,,
83,83,Corbin Carroll,,,
84,84,Felix Bautista,1,,Sarris
85,85,Andres Gimenez,,,
86,86,Tyler Glasnow,,,
87,87,Wander Franco,,,
88,88,Byron Buxton,,,
89,89,Ryan Helsley,1,,Sarris
90,90,Robbie Ray,,,
91,91,Triston McKenzie,,,
92,92,Tim Anderson,,,
93,93,Vinnie Pasquantino,,,
94,94,Gunnar Henderson,,,
95,95,Kenley Jansen,,,
96,96,Nestor Cortes ,,,
97,97,Willy Adames,,,
98,98,Nathaniel Lowe,,,
99,99,Logan Webb,,,
100,100,Carlos Correa,,,
101,101,Alejandro Kirk,,,
102,102,Logan Gilbert,,,
103,102,Logan Gilbert,,,
104,103,Camilo Doval,,,
105,104,Rhys Hoskins,,,
106,105,Tyler ONeill,,,
107,106,Kyle Wright,,,
108,107,MJ Melendez,,,
109,108,Willson Contreras,1,,Melchior
110,108,Willson Contreras,,,
111,108,Willson Contreras,,,
112,108,Willson Contreras,,,
113,109,Luis Severino,,,
114,110,Clayton Kershaw,,,
115,111,Jeremy Pena,,,
116,112,Steven Kwan,,,
117,113,George Kirby,,,
118,114,Blake Snell,,,
119,115,Christian Walker,,,
120,116,Seiya Suzuki,,,
121,117,Jake McCarthy,1,,Laghezza
122,118,Hunter Greene,2,,"Salfino, Sarris"
123,119,Giancarlo Stanton,1,,Laghezza
124,120,Anthony Santander,,,
125,121,Christian Yelich,,,
