player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Jermaine Palacios,650339,R,4,1,176.3,96,122.3
Tyler Glasnow,607192,R,177,3,157.4,105.5,119.5
Sheldon Neuse,641914,R,12,2,155.8,104.6,113.2
Emmanuel Clase,661403,R,1001,81,155.3,104.5,117.7
Pete Fairbanks,664126,R,362,25,151.3,103.7,118.1
Ryan Helsley,664854,R,991,55,145.4,99,112.9
Jake Hager,606993,R,4,1,143.3,104.5,136.5
Ryan Pressly,519151,R,881,60,142.4,99.9,110.4
Felix Bautista,642585,R,993,65,142.1,96.3,109.9
Edwin Diaz,621242,R,963,63,140.2,100.1,111.2
Jacob deGrom,594798,R,1038,12,139.5,106.8,115.9
Jeremiah Estrada,669093,R,117,5,137,102.9,111.9
Bryan Abreu,650556,R,1189,65,136.5,94.6,104.5
Spencer Strider,675911,R,2328,32,134.3,102.2,111.1
Liam Hendriks,521230,R,948,58,133,98.5,108.1
Andres Munoz,662253,R,1120,69,132,101.8,110.2
Paul Sewald,623149,R,1052,68,132,98.7,111.1
Colin Poche,621363,L,972,65,131.8,96.4,105.1
Kenley Jansen,445276,R,1022,67,131.5,103.5,104.3
Jordan Romano,605447,R,1016,64,131.2,99,105.7
Tanner Rainey,663432,R,518,29,128.8,101.4,109.8
Gerrit Cole,543037,R,3543,36,128.7,102.1,110.4
Aroldis Chapman,547973,L,678,43,128.2,86.2,96.4
Hunter Greene,668881,R,2196,24,128.1,100.3,106.3
James Karinchak,675916,R,790,42,128.1,94.3,105.1
Matt Bush,456713,R,909,65,127.3,101.1,108.5
Corbin Burnes,669203,R,3270,33,126.2,101.9,109.2
Shohei Ohtani,660271,R,2628,28,125.7,97.9,107.5
Ryne Stanek,592773,R,943,63,125.4,94.1,104.8
Zack Weiss,592848,R,209,12,125.4,97.5,102.1
Evan Phillips,623465,R,976,67,125.3,101.2,108.4
Seranthony Dominguez,622554,R,998,63,124.9,98.7,103.5
Tanner Scott,656945,L,1254,67,124.6,93.3,101.8
Jhoan Duran,661395,R,1023,57,124.4,101.2,105.2
Matt Brash,666374,R,976,42,124.4,94.1,105.1
Dylan Cease,656302,R,3120,32,124,97.6,106.8
Nick Snyder,676766,R,33,2,123.8,69,77.9
Greg Holland,518813,R,80,5,123.2,107.7,110.9
Michael Kelly,547184,R,64,4,123,97.4,102.6
Ildemaro Vargas,545121,R,6,1,122,72.5,160.1
Jose Alvarado,621237,L,1081,71,122,96.5,101.5
Clay Holmes,605280,R,1062,67,121.8,95.5,101.9
Luis Garcia,472610,R,1033,68,121.8,96.7,104.6
Luis Gil,661563,R,83,1,121.6,90.4,98.2
Ron Marinaccio,676760,R,757,40,121.5,87.8,97.5
Jordan Hicks,663855,R,1075,37,121.4,92.6,98.4
Julian Merryweather,657240,R,416,26,121.4,100.9,104.9
William Woods,682016,R,31,2,121.3,82.1,89.7
Jonathan Loaisiga,642528,R,882,56,120.9,101.4,106.8
Joe Jimenez,641729,R,937,62,120.7,104.9,110.8
Steven Wilson,621051,R,948,54,120.7,99.5,107.9
Jason Adam,592094,R,961,68,120.5,97.2,106
Jeff Brigham,656257,R,419,16,120.5,100.5,108.8
A.J. Minter,621345,L,1154,77,120.4,103.9,107.6
Sandy Alcantara,645261,R,3235,32,120.4,105.3,107.4
Adrian Morejon,670970,L,581,28,120,101,105.6
Shelby Miller,571946,R,127,4,119.9,102.3,109
Brusdar Graterol,660813,R,689,48,119.8,108.8,111.8
Blake Snell,605483,L,2615,27,119.5,99,105.2
Robert Suarez,663158,R,912,52,119.4,101.5,106.4
Yerry Rodriguez,666720,R,18,1,119.4,119.9,125.7
Daniel Duarte,650960,R,77,3,119,99.7,104.9
Penn Murfee,682171,R,1040,66,119,101.9,109.5
Joe Barlow,669618,R,553,35,118.7,97.6,105.2
Michael King,650633,R,774,34,118.6,101.8,109.7
Justin Verlander,434378,R,2974,32,118.2,106.8,108.6
David Robertson,502085,R,1203,66,118,96.5,101.3
Frank Schwindel,643524,R,1,1,117.8,90.8,215.8
Griffin Jax,643377,R,1155,65,117.8,104.3,109.9
Ryne Nelson,669194,R,253,3,117.8,102.2,107.9
Jordan Weems,607179,R,713,31,117.6,101.8,104.1
Matthew Festa,670036,R,933,55,117.6,99.3,105
Emilio Pagan,641941,R,1116,58,117.4,102.6,107.7
Luis Ortiz,682847,R,275,4,116.8,95.8,102.5
Josh Hader,623352,L,1021,61,116.7,93.2,103.5
Franklin German,681464,R,61,4,116.5,84.9,88
Dylan Coleman,669395,R,1204,68,116.2,95,100.5
Freddy Tarnok,676206,R,10,1,116.2,109.8,120
Ryan Thompson,657044,R,678,47,116.2,99.9,106.6
Trevor Megill,656730,R,774,39,116.2,100.4,105.1
Giovanny Gallegos,606149,R,1016,59,116.1,100.4,105.2
Cristian Javier,664299,R,2756,33,116,101.1,106.3
Drew Smith,622098,R,762,44,115.9,99.8,105.2
Andrew Kittredge,552640,R,233,17,115.8,100.6,105.2
Caleb Thielbar,573204,L,983,66,115.7,104,110.4
Reynaldo Lopez,625643,R,985,61,115.6,101.8,105.2
Trevor Stephan,663986,R,1105,69,115.5,101,103.5
Devin Williams,642207,R,1068,65,115.1,99.6,106.3
Bryce Montes de Oca,656755,R,84,3,114.9,100,102.3
Darin Ruf,573131,R,14,1,114.9,108.2,112.3
John Schreiber,670167,R,1019,64,114.9,99.2,104.3
Calvin Faucher,676534,R,431,22,114.8,96.9,99.8
Jordan Holloway,656548,R,42,1,114.7,92.4,99.7
Jacob Barnes,606930,R,361,23,114.6,99.2,102.3
Alex Vesia,681911,L,1006,66,114.5,100,104.1
Max Kranick,668820,R,76,2,114.3,88.8,91.1
Yunior Marte,628708,R,852,39,114.3,95.6,102.1
Greg Weissert,669711,R,186,12,114.2,90,99.4
Javy Guerra,642770,R,327,18,114.2,97,96.7
Steven Okert,595345,L,938,59,114.2,98.6,103
Cole Waites,686972,R,104,7,114.1,98.9,97.3
Kaleb Ort,672391,R,528,25,114.1,98.1,104
Anthony Gose,543238,L,376,22,114,89,94.6
Jeremy Beasley,676886,R,271,9,114,99.8,104.2
Carlos Rodon,607074,L,2978,31,113.9,103.1,107.1
Aneurys Zabala,656008,R,43,2,113.8,95.5,97.1
Hunter Brown,686613,R,374,10,113.8,99.7,100.1
Yu Darvish,506433,R,3356,34,113.8,102.1,104.4
Shaun Anderson,641312,R,21,1,113.6,105.2,108
Brandon Woodruff,605540,R,2532,27,113.5,107,108.6
DL Hall,669084,L,269,11,113.5,102.1,108.1
Yonny Chirinos,630023,R,100,2,113.4,98,104.5
Camilo Doval,666808,R,1118,68,113.2,96.4,101.8
Scott Effross,664123,R,815,60,113.2,103.8,107.1
Jake Diekman,518617,L,1172,70,113.1,91.9,97.4
Jorge Lopez,605347,R,1161,67,113.1,99.4,103.7
Michael Kopech,656629,R,2006,25,113.1,95.2,100.1
Tommy Nance,667297,R,749,35,113.1,97.9,101.6
Clarke Schmidt,657376,R,968,32,112.8,100.7,105.3
Tyler Rogers,643511,R,1160,68,112.8,94.8,102.4
Gregory Soto,642397,L,1100,64,112.7,93.2,95.4
Yency Almonte,622075,R,508,36,112.7,96.6,105.4
Kyle Crick,605195,R,279,14,112.6,92.8,99.9
Domingo Tapia,593619,R,363,11,112.5,94.4,94.7
Alexis Diaz,664747,R,1022,57,112.4,96.1,103.6
Manuel Rodriguez,655889,R,203,14,112.4,93.6,93.1
Shane Baz,669358,R,444,6,112.4,95.7,103.6
David Bednar,670280,R,840,45,112.3,99.8,104.5
Mauricio Llovera,661440,R,302,17,112.3,100.4,103.6
Phil Bickford,641360,R,990,60,112.2,106.7,108.8
Joe Kelly,523260,R,703,43,112.1,92.2,100.6
Rafael Montero,606160,R,1261,81,112.1,105.7,106.8
Shane McClanahan,663556,L,2540,29,111.9,103.2,107.4
Adam Cimber,643256,R,1055,79,111.7,99.2,105.1
Chad Green,643338,R,239,14,111.2,105.3,110.6
Corey Knebel,608349,R,795,46,111.2,93.4,97.8
Yohan Ramirez,670990,R,619,30,111.2,93,97.9
Nicholas Padilla,656820,R,39,1,111.1,85.8,88.4
Adam Ottavino,493603,R,1090,67,111,96.7,104.6
J.P. Feyereisen,656420,R,344,22,111,100.9,106
Anthony Bass,542914,R,980,73,110.9,102.4,103.5
Nick Mears,683232,R,31,2,110.7,87.4,102.6
Zach Pop,647315,R,549,36,110.7,100.4,102.1
Zack Wheeler,554430,R,2804,32,110.7,105.9,110
Hunter Harvey,640451,R,661,38,110.6,103.6,104.8
