id,name1,name2,name3
BUF,Bills,Buffalo,Buffalo Bills
MIA,Dolphins,Miami,Miami Dolphins
NE,Patriots,New England,New England Patriots
NYJ,Jets,New York,New York Jets
BAL,Ravens,Baltimore,Baltimore Ravens
CIN,Bengals,Cincinnati,Cincinnati Bengals
CLE,Browns,Cleveland,Cleveland Browns
PIT,Steelers,Pittsburgh,Pittsburgh Steelers
HOU,Texans,Houston,Houston Texans
IND,Colts,Indianapolis,Indianapolis Colts
JAX,Jaguars,Jacksonville,Jacksonville Jaguars
TEN,Titans,Tennessee,Tennessee Titans
DEN,Broncos,Denver,Denver Broncos
KC,Chiefs,Kansas City,Kansas City Chiefs
LV,Raiders,Las Vegas,Las Vegas Raiders
LAC,Chargers,Los Angeles,Los Angeles Chargers
DAL,Cowboys,Dallas,Dallas Cowboys
NYG,Giants,New York,New York Giants
PHI,Eagles,Philadelphia,Philadelphia Eagles
WAS,Commanders,Washington,Washington Commanders
CHI,Bears,Chicago,Chicago Bears
DET,Lions,Detroit,Detroit Lions
GB,Packers,Green Bay,Green Bay Packers
MIN,Vikings,Minnesota,Minnesota Vikings
ATL,Falcons,Atlanta,Atlanta Falcons
CAR,Panthers,Carolina,Carolina Panthers
NO,Saints,New Orleans,New Orleans Saints
TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers
ARI,Cardinals,Arizona,Arizona Cardinals
LAR,Rams,Los Angeles,Los Angeles Rams
SF,49ers,San Francisco,San Francisco 49ers
SEA,Seahawks,Seattle,Seattle Seahawks
