Hitters Last 7 Days
PlayerId,Name,Team,PA,HR,SB,BABIP,K,BB,ISO,wRC,Barrels,OPS,Barrel,Off,EV,NameASCII,MLBAMID,Total Z-Score
10324,Marcell Ozuna,ATL,35,3,0,78.1,64.25,131.51,289.26,186.68,3.0,1.06,0.12,3.24,92.44,Marcell Ozuna,542303,28.31
18042,Dylan Moore,SEA,28,2,2,108.42,80.15,304.34,261.78,236.42,2.0,1.2,0.13,4.8,94.65,Dylan Moore,664238,19.7
16505,Matt Chapman,SFG,28,3,0,73.64,80.31,205.49,317.75,221.67,5.0,1.16,0.29,4.0,93.63,Matt Chapman,656305,18.54
22184,Mark Vientos,NYM,13,2,0,85.91,34.6,177.04,508.39,318.57,3.0,1.55,0.3,3.33,93.72,Mark Vientos,668901,17.36
27490,Nick Gonzales,PIT,28,0,1,193.3,96.38,164.39,127.1,216.62,2.0,1.13,0.12,4.12,89.34,Nick Gonzales,693304,13.19
27684,Michael Massey,KCR,16,2,0,156.61,84.16,152.17,352.4,285.85,2.0,1.5,0.18,3.4,90.79,Michael Massey,686681,13.14
25961,Kerry Carpenter,DET,22,3,0,117.46,81.61,166.0,436.3,292.37,4.0,1.51,0.27,4.33,91.94,Kerry Carpenter,681481,9.81
26368,JJ Bleday,OAK,29,3,0,74.18,61.91,125.93,352.4,217.65,4.0,1.15,0.18,3.83,89.71,JJ Bleday,668709,9.52
24934,David Fry,CLE,14,2,1,201.35,0.0,347.82,436.3,439.1,1.0,2.12,0.11,5.51,90.46,David Fry,681807,0.72

Hitters Last 14 Days
PlayerId,Name,Team,PA,HR,SB,BABIP,K,BB,ISO,wRC,Barrels,OPS,Barrel,Off,EV,NameASCII,MLBAMID,Total Z-Score
10324,Marcell Ozuna,ATL,55,3,0,118.13,98.13,146.46,186.41,169.94,4.0,0.98,0.11,3.98,91.57,Marcell Ozuna,542303,28.31
18042,Dylan Moore,SEA,51,3,3,105.71,70.41,190.96,245.42,208.51,3.0,1.11,0.09,7.01,92.66,Dylan Moore,664238,19.7
16505,Matt Chapman,SFG,55,3,2,128.87,81.77,167.38,233.01,217.96,6.0,1.12,0.17,8.02,91.7,Matt Chapman,656305,18.54
22184,Mark Vientos,NYM,29,2,0,121.29,93.05,158.72,279.62,218.39,3.0,1.13,0.16,4.05,90.08,Mark Vientos,668901,17.36
26294,Bryson Stott,PHI,56,2,5,75.44,8.03,205.49,116.51,143.61,2.0,0.84,0.05,3.7,83.66,Bryson Stott,681082,16.93
10815,Jurickson Profar,SDP,55,1,1,137.46,57.24,209.23,81.28,184.79,2.0,0.96,0.06,4.68,88.85,Jurickson Profar,595777,16.63
20308,Jake Meyers,HOU,48,3,1,138.81,56.11,101.45,171.4,214.38,4.0,1.1,0.11,6.7,92.48,Jake Meyers,676694,15.83
21454,Lars Nootbaar,STL,45,2,1,128.87,99.95,230.15,174.76,187.34,3.0,1.0,0.12,4.73,93.89,Lars Nootbaar,663457,15.02
17696,Kevin Newman,ARI,44,0,1,139.32,20.44,104.61,89.62,174.73,0.0,0.95,0.0,3.95,87.3,Kevin Newman,621028,10.33
9847,Andrew McCutchen,PIT,56,3,0,127.64,80.31,123.29,145.63,174.38,5.0,0.97,0.13,4.56,90.56,Andrew McCutchen,457705,3.36
20321,Stuart Fairchild,CIN,27,2,0,114.55,83.29,213.1,254.2,208.43,2.0,1.13,0.12,3.28,89.62,Stuart Fairchild,656413,2.99
24934,David Fry,CLE,31,4,2,164.44,14.48,353.43,392.67,382.26,3.0,1.86,0.16,10.15,92.36,David Fry,681807,0.72

Hitters 40 PA
PlayerId,Name,Team,PA,HR,SB,BABIP,K,BB,ISO,wRC,Barrels,OPS,Barrel,Off,EV,NameASCII,MLBAMID,Total Z-Score
18042,Dylan Moore,SEA,51,3,3,105.71,70.41,190.96,245.42,208.51,3.0,1.11,0.09,7.01,92.66,Dylan Moore,664238,19.7
16505,Matt Chapman,SFG,55,3,2,128.87,81.77,167.38,233.01,217.96,6.0,1.12,0.17,8.02,91.7,Matt Chapman,656305,18.54
